Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1737285472.7332337,12809,1737285462,733673152,base_link,-0.009021195688192884,0.01227750276610378,-0.986228386981294,-0.16468591216755218,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.18595053255558014,0.030249187722802166,0.03993830829858779,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.1372931,-0.19613299999999875,10.16949605,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1737285472.7332592,12810,1737285462,833673408,base_link,-0.0062184484525263746,0.01157737038187155,-0.9865418217136737,-0.16298015033662988,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0762384682893753,-0.03746923804283141,0.09831829369068146,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.10787315,-0.15690639999999875,10.1596894,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1737285472.7334168,12811,1737285462,933672384,base_link,-0.005686453108616514,0.011074481337083872,-0.9871058789560478,-0.15958384581331092,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.06767663359642029,-0.013055674731731396,0.15061983466148376,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.02941995,-0.3138127999999988,10.0616229,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1737285472.7336023,12812,1737285463,33672640,base_link,-0.0038075970435537828,0.01253807718478669,-0.9878483421543862,-0.15486752961190076,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.026240073144435883,-0.05066900700330732,0.1772022545337677,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0588399,-0.22555294999999878,10.07142955,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1737285472.7336657,12813,1737285463,133673152,base_link,-0.0013795517653282083,0.014497337249867964,-0.9888469938069984,-0.14822127677379027,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.1774032562971115,0.038160540163517054,0.4290376901626587,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.0392266,-0.32361944999999875,10.1596894,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1737285472.7350512,12814,1737285463,233673408,base_link,-0.0040454678129178,0.01414368533339486,-0.9895894664931566,-0.14316521281775801,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.19062107801437378,-0.11629185080528257,0.22028037905693057,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.0980665,-0.3138127999999988,10.0812362,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1737285472.7351418,12815,1737285463,333672384,base_link,-0.00646533948103105,0.014601979324944168,-0.9902244241959228,-0.13856612613132469,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1770971119403839,-0.30175259709358215,0.07921364158391957,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.0784532,-0.3530393999999987,10.091042850000001,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1737285472.7352085,12816,1737285463,433672384,base_link,-0.007059650311222066,0.015285429880347081,-0.9910220195823656,-0.1326343608336314,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.13523508608341217,-0.03508017957210543,-0.1444532722234726,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.02941995,-0.18632634999999875,10.1400761,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1737285472.735333,12817,1737285463,533672384,base_link,-0.008172125297484229,0.01485476759263603,-0.9919495649300889,-0.12549347745161293,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0967288687825203,-0.011247164569795081,0.4049699008464813,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.00980665,-0.2745861999999988,10.05181625,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1737285472.7353985,12818,1737285463,633672640,base_link,-0.0059462128557673626,0.016440888208308357,-0.9924915409347754,-0.1210573455867543,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3642299175262451,-0.11244391649961473,-0.07305778563022612,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.06864655,-0.36284604999999875,10.05181625,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
