Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,temperature,variance
1737285472.7740757,12893,1737285471,134665984,base_link,25.18,0.0
1737285472.7741153,12894,1737285471,234666240,base_link,25.18,0.0
1737285472.774175,12895,1737285471,334667264,base_link,25.17,0.0
1737285472.774209,12896,1737285471,434667776,base_link,25.17,0.0
1737285472.7742336,12897,1737285471,536667008,base_link,25.17,0.0
1737285472.774266,12898,1737285471,634667520,base_link,25.17,0.0
1737285472.7743213,12899,1737285471,736670848,base_link,25.17,0.0
1737285472.7765732,12900,1737285471,834671360,base_link,25.16,0.0
1737285472.777788,12901,1737285471,934671872,base_link,25.16,0.0
1737285472.7779257,12902,1737285472,34672384,base_link,25.16,0.0
1737285472.7798553,12903,1737285472,134671616,base_link,25.16,0.0
1737285472.779879,12904,1737285472,236672384,base_link,25.16,0.0
1737285472.7799249,12905,1737285472,334672896,base_link,25.16,0.0
1737285472.779999,12906,1737285472,434672384,base_link,25.15,0.0
1737285472.7800484,12907,1737285472,534672896,base_link,25.15,0.0
1737285472.7802117,12908,1737285472,634673408,base_link,25.15,0.0
1737285472.7802367,12909,1737285472,734672896,base_link,25.15,0.0
1737285472.8405266,12910,1737285472,834673664,base_link,25.15,0.0
1737285472.9405954,12911,1737285472,934672640,base_link,25.14,0.0
1737285473.0405116,12912,1737285473,34673152,base_link,25.14,0.0
1737285473.1403887,12913,1737285473,134672640,base_link,25.14,0.0
1737285473.2413437,12914,1737285473,236673408,base_link,25.14,0.0
1737285473.3380222,12915,1737285473,334672896,base_link,25.14,0.0
1737285473.4383159,12916,1737285473,434673664,base_link,25.14,0.0
1737285473.5404456,12917,1737285473,534673152,base_link,25.13,0.0
1737285473.6429574,12918,1737285473,634674176,base_link,25.13,0.0
1737285473.742658,12919,1737285473,734673920,base_link,25.13,0.0
1737285473.8409195,12920,1737285473,834674944,base_link,25.12,0.0
1737285473.9412653,12921,1737285473,934675712,base_link,25.13,0.0
1737285474.0418656,12922,1737285474,34676736,base_link,25.12,0.0
1737285474.1400945,12923,1737285474,134676480,base_link,25.12,0.0
1737285474.2413905,12924,1737285474,234677504,base_link,25.12,0.0
1737285474.3416061,12925,1737285474,334679040,base_link,25.12,0.0
1737285474.4420662,12926,1737285474,434679808,base_link,25.12,0.0
1737285474.544449,12927,1737285474,534671104,base_link,25.11,0.0
1737285474.641585,12928,1737285474,634670848,base_link,25.11,0.0
1737285474.7388518,12929,1737285474,734670592,base_link,25.11,0.0
1737285474.8422174,12930,1737285474,834670080,base_link,25.11,0.0
1737285474.9431741,12931,1737285474,934669824,base_link,25.11,0.0
1737285475.042995,12932,1737285475,34669312,base_link,25.1,0.0
1737285475.1438606,12933,1737285475,134669056,base_link,25.1,0.0
1737285475.2431374,12934,1737285475,234668800,base_link,25.1,0.0
1737285475.340355,12935,1737285475,334661888,base_link,25.1,0.0
1737285475.4412544,12936,1737285475,434661632,base_link,25.1,0.0
1737285475.5413368,12937,1737285475,534661632,base_link,25.1,0.0
1737285475.6400304,12938,1737285475,634661376,base_link,25.09,0.0
1737285475.7419713,12939,1737285475,734665728,base_link,25.09,0.0
1737285475.8425627,12940,1737285475,834665472,base_link,25.09,0.0
1737285475.9410362,12941,1737285475,934665472,base_link,25.09,0.0
1737285476.040608,12942,1737285476,34665216,base_link,25.09,0.0
1737285476.1415865,12943,1737285476,136665216,base_link,25.08,0.0
1737285476.23967,12944,1737285476,234664960,base_link,25.08,0.0
1737285476.3422577,12945,1737285476,334665472,base_link,25.08,0.0
1737285476.4407873,12946,1737285476,434665216,base_link,25.08,0.0
1737285476.5402143,12947,1737285476,534665472,base_link,25.08,0.0
1737285476.640361,12948,1737285476,636665472,base_link,25.08,0.0
1737285476.7533848,12949,1737285476,734665984,base_link,25.07,0.0
1737285476.8409219,12950,1737285476,834666240,base_link,25.07,0.0
1737285476.9396193,12951,1737285476,934666240,base_link,25.07,0.0
1737285477.0411782,12952,1737285477,34666496,base_link,25.07,0.0
1737285477.1408262,12953,1737285477,134666752,base_link,25.07,0.0
1737285477.2403047,12954,1737285477,234667008,base_link,25.07,0.0
1737285477.3403215,12955,1737285477,334667264,base_link,25.07,0.0
1737285477.4404426,12956,1737285477,434667776,base_link,25.06,0.0
1737285477.540047,12957,1737285477,534668032,base_link,25.06,0.0
1737285477.6392334,12958,1737285477,634668288,base_link,25.06,0.0
1737285477.7405195,12959,1737285477,734668800,base_link,25.05,0.0
1737285477.8401363,12960,1737285477,834669056,base_link,25.05,0.0
1737285477.94304,12961,1737285477,936669568,base_link,25.05,0.0
1737285478.042036,12962,1737285478,35670080,base_link,25.05,0.0
1737285478.140875,12963,1737285478,134670592,base_link,25.05,0.0
1737285478.240421,12964,1737285478,234670848,base_link,25.05,0.0
1737285478.342504,12965,1737285478,334670080,base_link,25.05,0.0
1737285478.4409971,12966,1737285478,434671104,base_link,25.04,0.0
1737285478.5424976,12967,1737285478,534670080,base_link,25.04,0.0
1737285478.6403317,12968,1737285478,634670592,base_link,25.04,0.0
1737285478.7416608,12969,1737285478,734669824,base_link,25.04,0.0
1737285478.8457162,12970,1737285478,834670336,base_link,25.03,0.0
1737285478.939829,12971,1737285478,934669312,base_link,25.03,0.0
