Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,time_ref.secs,time_ref.nsecs,source
1737285472.7788625,12888,1737285470,639121089,,1737285471,259363000,fcu
1737285472.7812984,12889,1737285470,739226015,,1737285471,359377000,fcu
1737285472.7813237,12890,1737285470,839445071,,1737285471,459355000,fcu
1737285472.7813976,12891,1737285470,938072737,,1737285471,557068000,fcu
1737285472.781426,12892,1737285471,39278756,,1737285471,659348000,fcu
1737285472.7814982,12893,1737285471,139255867,,1737285471,759355000,fcu
1737285472.7815275,12894,1737285471,239241478,,1737285471,859345000,fcu
1737285472.7815526,12895,1737285471,338841404,,1737285471,959351000,fcu
1737285472.7816188,12896,1737285471,438072348,,1737285472,59297000,fcu
1737285472.7816436,12897,1737285471,538317978,,1737285472,159366000,fcu
1737285472.7837164,12898,1737285471,638073570,,1737285472,259252000,fcu
1737285472.783742,12899,1737285471,738245885,,1737285472,359369000,fcu
1737285472.783773,12900,1737285471,837864237,,1737285472,457058000,fcu
1737285472.783813,12901,1737285471,937476348,,1737285472,557083000,fcu
1737285472.7839231,12902,1737285472,37359959,,1737285472,657076000,fcu
1737285472.783952,12903,1737285472,138147311,,1737285472,759316000,fcu
1737285472.784035,12904,1737285472,240516885,,1737285472,859672000,fcu
1737285472.787677,12905,1737285472,338378162,,1737285472,959260000,fcu
1737285472.7884276,12906,1737285472,438337329,,1737285473,57104000,fcu
1737285472.789387,12907,1737285472,539167847,,1737285473,159376000,fcu
1737285472.790179,12908,1737285472,638297292,,1737285473,257062000,fcu
1737285472.7909586,12909,1737285472,738383070,,1737285473,359331000,fcu
1737285472.8409655,12910,1737285472,837844977,,1737285473,457104000,fcu
1737285472.9407394,12911,1737285472,937661884,,1737285473,557073000,fcu
1737285473.0414226,12912,1737285473,38392458,,1737285473,659343000,fcu
1737285473.140516,12913,1737285473,138254717,,1737285473,759392000,fcu
1737285473.2427645,12914,1737285473,238537958,,1737285473,859355000,fcu
1737285473.3395355,12915,1737285473,338275477,,1737285473,959332000,fcu
1737285473.4389184,12916,1737285473,438291032,,1737285474,59329000,fcu
1737285473.5425014,12917,1737285473,538487236,,1737285474,159340000,fcu
1737285473.6438015,12918,1737285473,638467532,,1737285474,259328000,fcu
1737285473.7442634,12919,1737285473,738864254,,1737285474,359363000,fcu
1737285473.8441346,12920,1737285473,838407754,,1737285474,459344000,fcu
1737285473.94442,12921,1737285473,938785180,,1737285474,559351000,fcu
1737285474.0455923,12922,1737285474,38700698,,1737285474,659382000,fcu
1737285474.1442332,12923,1737285474,138611661,,1737285474,759307000,fcu
1737285474.2451138,12924,1737285474,238482717,,1737285474,859331000,fcu
1737285474.3518987,12925,1737285474,338746902,,1737285474,959312000,fcu
1737285474.4447014,12926,1737285474,438732661,,1737285475,59359000,fcu
1737285474.5460498,12927,1737285474,539452272,,1737285475,159371000,fcu
1737285474.6425264,12928,1737285474,637910865,,1737285475,257061000,fcu
1737285474.7425222,12929,1737285474,738903124,,1737285475,359354000,fcu
1737285474.8432517,12930,1737285474,838694328,,1737285475,459383000,fcu
1737285474.945898,12931,1737285474,938711235,,1737285475,559324000,fcu
1737285475.0439048,12932,1737285475,38075920,,1737285475,657073000,fcu
1737285475.148033,12933,1737285475,140867976,,1737285475,760173000,fcu
1737285475.244835,12934,1737285475,238560550,,1737285475,859346000,fcu
1737285475.3425853,12935,1737285475,338622216,,1737285475,959232000,fcu
1737285475.4422448,12936,1737285475,436836457,,1737285476,57052000,fcu
1737285475.5417101,12937,1737285475,537436272,,1737285476,157071000,fcu
1737285475.6420195,12938,1737285475,638672679,,1737285476,259310000,fcu
1737285475.7435272,12939,1737285475,738714623,,1737285476,359299000,fcu
1737285475.8449218,12940,1737285475,838709086,,1737285476,459312000,fcu
1737285475.9435496,12941,1737285475,938719494,,1737285476,559321000,fcu
1737285476.0437717,12942,1737285476,38753290,,1737285476,659347000,fcu
1737285476.1424623,12943,1737285476,139551438,,1737285476,759355000,fcu
1737285476.2404027,12944,1737285476,236880012,,1737285476,857084000,fcu
1737285476.3454094,12945,1737285476,340711771,,1737285476,960287000,fcu
1737285476.4419286,12946,1737285476,438862530,,1737285477,59303000,fcu
1737285476.542407,12947,1737285476,537574030,,1737285477,157088000,fcu
1737285476.6419427,12948,1737285476,639339919,,1737285477,259359000,fcu
1737285476.7550082,12949,1737285476,739103623,,1737285477,359268000,fcu
1737285476.84147,12950,1737285476,837370456,,1737285477,457093000,fcu
1737285476.9420123,12951,1737285476,938982234,,1737285477,559283000,fcu
1737285477.0419152,12952,1737285477,37038289,,1737285477,657065000,fcu
1737285477.1437087,12953,1737285477,138906400,,1737285477,759285000,fcu
1737285477.2434223,12954,1737285477,239098493,,1737285477,859309000,fcu
1737285477.3428288,12955,1737285477,337461993,,1737285477,957083000,fcu
1737285477.4431589,12956,1737285477,438968808,,1737285478,59312000,fcu
1737285477.5434606,12957,1737285477,539091882,,1737285478,159340000,fcu
1737285477.6412554,12958,1737285477,639139196,,1737285478,259367000,fcu
1737285477.7429905,12959,1737285477,739362900,,1737285478,359335000,fcu
1737285477.8425205,12960,1737285477,839058363,,1737285478,459343000,fcu
1737285477.943903,12961,1737285477,939437918,,1737285478,559364000,fcu
1737285478.0430334,12962,1737285478,38457196,,1737285478,658067000,fcu
1737285478.1444433,12963,1737285478,139308233,,1737285478,757097000,fcu
1737285478.2474017,12964,1737285478,238198251,,1737285478,859339000,fcu
1737285478.3486688,12965,1737285478,339060918,,1737285478,959320000,fcu
1737285478.4430513,12966,1737285478,439111270,,1737285479,59274000,fcu
1737285478.5430284,12967,1737285478,537046603,,1737285479,157101000,fcu
1737285478.6410043,12968,1737285478,637401714,,1737285479,257057000,fcu
1737285478.7485135,12969,1737285478,739113029,,1737285479,359379000,fcu
1737285478.8489454,12970,1737285478,838181455,,1737285479,459289000,fcu
1737285478.9423373,12971,1737285478,938138010,,1737285479,559354000,fcu
1737285479.043492,12972,1737285479,38411732,,1737285479,659397000,fcu
1737285479.1436193,12973,1737285479,138326732,,1737285479,759346000,fcu
1737285479.2436252,12974,1737285479,238220992,,1737285479,859318000,fcu
1737285479.3437474,12975,1737285479,338840862,,1737285479,959300000,fcu
1737285479.445806,12976,1737285479,438389306,,1737285480,58115000,fcu
1737285479.542921,12977,1737285479,538217010,,1737285480,159313000,fcu
1737285479.6510088,12978,1737285479,638318195,,1737285480,259335000,fcu
1737285479.743356,12979,1737285479,738383510,,1737285480,359372000,fcu
1737285479.8456416,12980,1737285479,838831102,,1737285480,459323000,fcu
1737285479.945443,12981,1737285479,938914213,,1737285480,557586000,fcu
1737285480.046054,12982,1737285480,38430787,,1737285480,659339000,fcu
1737285480.146812,12983,1737285480,144370880,,1737285480,760328000,fcu
1737285480.2446864,12984,1737285480,238408639,,1737285480,859350000,fcu
1737285480.353021,12985,1737285480,338276972,,1737285480,959365000,fcu
1737285480.4458294,12986,1737285480,440139639,,1737285481,60225000,fcu
1737285480.5428889,12987,1737285480,539209935,,1737285481,159273000,fcu
1737285480.64307,12988,1737285480,638491065,,1737285481,259294000,fcu
1737285480.742975,12989,1737285480,738650435,,1737285481,359338000,fcu
1737285480.8420026,12990,1737285480,839018028,,1737285481,459292000,fcu
1737285480.9455707,12991,1737285480,938458176,,1737285481,559301000,fcu
1737285481.043052,12992,1737285481,38402750,,1737285481,659325000,fcu
1737285481.1438868,12993,1737285481,138734972,,1737285481,759364000,fcu
1737285481.2448258,12994,1737285481,238469472,,1737285481,859326000,fcu
1737285481.3446279,12995,1737285481,338651935,,1737285481,959366000,fcu
1737285481.4501603,12996,1737285481,438567620,,1737285482,59354000,fcu
1737285481.545624,12997,1737285481,538903546,,1737285482,159364000,fcu
1737285481.6441736,12998,1737285481,638651805,,1737285482,257077000,fcu
1737285481.7473943,12999,1737285481,738684453,,1737285482,359311000,fcu
1737285481.8426073,13000,1737285481,837866231,,1737285482,457097000,fcu
1737285481.9469187,13001,1737285481,937937157,,1737285482,557089000,fcu
1737285482.0439422,13002,1737285482,38646620,,1737285482,659314000,fcu
1737285482.1435475,13003,1737285482,138148953,,1737285482,757097000,fcu
1737285482.244608,13004,1737285482,239205675,,1737285482,859356000,fcu
1737285482.3503854,13005,1737285482,339775175,,1737285482,959843000,fcu
1737285482.447782,13006,1737285482,438741730,,1737285483,59349000,fcu
1737285482.5427039,13007,1737285482,538665138,,1737285483,159286000,fcu
1737285482.640942,13008,1737285482,637113156,,1737285483,257068000,fcu
1737285482.7444224,13009,1737285482,738957878,,1737285483,359345000,fcu
1737285482.853333,13010,1737285482,838934175,,1737285483,459357000,fcu
1737285482.941079,13011,1737285482,937948452,,1737285483,557056000,fcu
1737285483.042913,13012,1737285483,39774378,,1737285483,657093000,fcu
1737285483.1413653,13013,1737285483,137193860,,1737285483,757106000,fcu
1737285483.2428844,13014,1737285483,238888230,,1737285483,859291000,fcu
1737285483.3415854,13015,1737285483,338877619,,1737285483,959283000,fcu
1737285483.4417007,13016,1737285483,437555489,,1737285484,57060000,fcu
1737285483.542112,13017,1737285483,538930656,,1737285484,159315000,fcu
1737285483.6438875,13018,1737285483,639094767,,1737285484,259306000,fcu
1737285483.744494,13019,1737285483,738934822,,1737285484,359316000,fcu
