Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rssi,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7
1737285472.7488708,12865,1737285468,334681856,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7490163,12866,1737285468,434681344,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7491088,12867,1737285468,534681088,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7492485,12868,1737285468,634680832,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7567525,12869,1737285468,734680576,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7578275,12870,1737285468,834680576,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7579234,12871,1737285468,934680320,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.75798,12872,1737285469,34680064,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7581236,12873,1737285469,134680064,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7581828,12874,1737285469,234679808,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7584784,12875,1737285469,334680064,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.758649,12876,1737285469,434679808,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.761137,12877,1737285469,534680064,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7652552,12878,1737285469,634680064,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7653008,12879,1737285469,734680064,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7653394,12880,1737285469,834680064,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.765381,12881,1737285469,934680320,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.765432,12882,1737285470,34680320,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7654676,12883,1737285470,134680320,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.765598,12884,1737285470,234673664,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7656193,12885,1737285470,335673664,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7656896,12886,1737285470,434667008,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7657351,12887,1737285470,534665728,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7658765,12888,1737285470,634665728,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7659154,12889,1737285470,734664960,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7659543,12890,1737285470,834665216,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7660737,12891,1737285470,934665728,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7662034,12892,1737285471,34665984,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.766235,12893,1737285471,134665984,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7663422,12894,1737285471,234666240,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7665033,12895,1737285471,334667264,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.767351,12896,1737285471,434667776,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.771528,12897,1737285471,534667008,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7715526,12898,1737285471,634667520,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7716322,12899,1737285471,734670848,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7747571,12900,1737285471,834671360,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7747934,12901,1737285471,934671872,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7748232,12902,1737285472,34672384,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.7748938,12903,1737285472,134671616,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.775114,12904,1737285472,234672384,,255,1502,1500,1000,1501,1000,1000,1000,1000
1737285472.778079,12905,1737285472,334672896,,255,1502,1500,1000,1501,1000,1000,1000,1000
