Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,severity,text
1737285472.7499504,52,1737285471,954352700,,6,EKF3 IMU0 MAG0 in-flight yaw alignment complete
1737285472.7616906,53,1737285471,956283996,,6,EKF3 IMU1 MAG0 in-flight yaw alignment complete
