Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,voltage,temperature,current,charge,capacity,design_capacity,percentage,power_supply_status,power_supply_health,power_supply_technology,present,location,serial_number
1737285472.780772,12854,1737285466,938891869,,0.0,0.0,-23.6200008392334,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.7808847,12855,1737285467,38904906,,0.0,0.0,-23.649999618530273,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.7832901,12856,1737285467,139467203,,0.0,0.0,-23.6299991607666,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.7833643,12857,1737285467,239045351,,0.0,0.0,-23.649999618530273,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.7834365,12858,1737285467,339248017,,0.0,0.0,-23.6299991607666,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.7835126,12859,1737285467,438961906,,0.0,0.0,-23.6200008392334,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.7835863,12860,1737285467,538954962,,0.0,0.0,-23.6200008392334,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.7836127,12861,1737285467,638975165,,0.0,0.0,-23.6200008392334,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.784528,12862,1737285467,739719332,,0.0,0.0,-23.6299991607666,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.788222,12863,1737285467,839170221,,0.0,0.0,-23.6299991607666,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.7882903,12864,1737285467,941683332,,0.0,0.0,-23.6299991607666,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.7883596,12865,1737285468,39539980,,0.0,0.0,-23.65999984741211,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.788559,12866,1737285468,139200980,,0.0,0.0,-23.639999389648438,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.7949631,12867,1737285468,240649109,,0.0,0.0,-23.68000030517578,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.7955022,12868,1737285468,339481591,,0.0,0.0,-23.6299991607666,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.798819,12869,1737285468,439521646,,0.0,0.0,-23.610000610351562,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.7992952,12870,1737285468,539620924,,0.0,0.0,-23.65999984741211,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.7995117,12871,1737285468,639265035,,0.0,0.0,-23.649999618530273,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.7995403,12872,1737285468,739573313,,0.0,0.0,-23.6200008392334,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.7995915,12873,1737285468,840718572,,0.0,0.0,-23.600000381469727,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.799815,12874,1737285468,940842479,,0.0,0.0,-23.639999389648438,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.799884,12875,1737285469,39174220,,0.0,0.0,-23.639999389648438,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.800057,12876,1737285469,140865775,,0.0,0.0,-23.649999618530273,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8001206,12877,1737285469,239407164,,0.0,0.0,-23.649999618530273,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.800225,12878,1737285469,339622738,,0.0,0.0,-23.610000610351562,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8004055,12879,1737285469,439408942,,0.0,0.0,-23.610000610351562,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.802007,12880,1737285469,539699905,,0.0,0.0,-23.610000610351562,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8021007,12881,1737285469,639587090,,0.0,0.0,-23.600000381469727,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8021612,12882,1737285469,739990238,,0.0,0.0,-23.639999389648438,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8022182,12883,1737285469,839994071,,0.0,0.0,-23.6200008392334,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8029191,12884,1737285469,939596034,,0.0,0.0,-23.610000610351562,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8030138,12885,1737285470,40047793,,0.0,0.0,-23.6200008392334,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8031466,12886,1737285470,143284867,,0.0,0.0,-23.600000381469727,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.803172,12887,1737285470,242489349,,0.0,0.0,-23.510000228881836,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.803222,12888,1737285470,341207793,,0.0,0.0,-23.3799991607666,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8032749,12889,1737285470,440839664,,0.0,0.0,-23.309999465942383,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8034105,12890,1737285470,539853108,,0.0,0.0,-23.329999923706055,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.803435,12891,1737285470,639795386,,0.0,0.0,-23.239999771118164,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8046308,12892,1737285470,740204978,,0.0,0.0,-23.18000030517578,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8047996,12893,1737285470,840100386,,0.0,0.0,-23.139999389648438,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8049288,12894,1737285470,939723145,,0.0,0.0,-23.100000381469727,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8051133,12895,1737285471,39999071,,0.0,0.0,-23.049999237060547,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8051376,12896,1737285471,139905126,,0.0,0.0,-23.1299991607666,nan,nan,nan,0.0,2,0,0,True,id0,
1737285472.8051887,12897,1737285471,240311570,,0.0,0.0,-23.219999313354492,nan,nan,nan,0.0,2,0,0,True,id0,
