LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-01-19 16:30:41,1900-01-00 00:00:00,,1C:61:B4:64:14:48,-10,,0.000000,0.000000,0.000,0.000,Client
2025-01-19 16:30:41,1900-01-00 00:00:00,,00:C0:CA:B5:53:1F,-10,,0.000000,0.000000,0.000,0.000,Client
2025-01-19 16:30:41,1900-01-00 00:00:00,,00:C0:CA:B5:53:1F,-10,,0.000000,0.000000,0.000,0.000,Client
2025-01-19 16:30:41,1900-01-00 00:00:00,,00:C0:CA:B5:53:1F,-10,,0.000000,0.000000,0.000,0.000,Client
2025-01-19 16:30:41,1900-01-00 00:00:00,,00:C0:CA:B5:53:1F,-11,,0.000000,0.000000,0.000,0.000,Client
2025-01-19 16:30:41,1900-01-00 00:00:00,,1C:61:B4:64:14:48,-10,,0.000000,0.000000,0.000,0.000,Client
2025-01-19 16:30:41,1900-01-00 00:00:00,,1C:61:B4:64:14:48,-11,,0.000000,0.000000,0.000,0.000,Client
2025-01-19 16:30:41,1900-01-00 00:00:00,,DC:A6:32:6D:2D:9B,-57, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-01-19 16:30:41,1900-01-00 00:00:00,,00:C0:CA:B5:53:1F,-48,,0.000000,0.000000,0.000,0.000,Client
2025-01-19 16:30:41,1900-01-00 00:00:00,,00:C0:CA:B5:53:1F,-48,,0.000000,0.000000,0.000,0.000,Client
2025-01-19 16:30:41,1900-01-00 00:00:00,,00:C0:CA:B5:53:1F,-48,,0.000000,0.000000,0.000,0.000,Client
2025-01-19 16:30:41,1900-01-00 00:00:00,,00:C0:CA:B5:53:1F,-11,,0.000000,0.000000,0.000,0.000,Client
2025-01-19 16:30:41,1900-01-00 00:00:00,,DC:A6:32:6D:2D:9B,-56, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-01-19 16:30:41,1900-01-00 00:00:00,,DC:A6:32:6D:2D:9B,-55, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-01-19 16:30:41,1900-01-00 00:00:00,,1C:61:B4:64:14:48,-9,,0.000000,0.000000,0.000,0.000,Client
2025-01-19 16:30:41,1900-01-00 00:00:00,,1C:61:B4:64:14:48,-10,,0.000000,0.000000,0.000,0.000,Client
2025-01-19 16:30:41,1900-01-00 00:00:00,,00:C0:CA:B5:53:1F,-10,,0.000000,0.000000,0.000,0.000,Client
2025-01-19 16:30:41,1900-01-00 00:00:00,,00:C0:CA:B5:53:1F,-10,,0.000000,0.000000,0.000,0.000,Client
2025-01-19 16:30:41,1900-01-00 00:00:00,,00:C0:CA:B5:53:1F,-10,,0.000000,0.000000,0.000,0.000,Client
2025-01-19 16:30:41,1900-01-00 00:00:00,,00:C0:CA:B5:53:1F,-10,,0.000000,0.000000,0.000,0.000,Client
2025-01-19 16:30:41,1900-01-00 00:00:00,,00:C0:CA:B5:53:1F,-11,,0.000000,0.000000,0.000,0.000,Client
2025-01-19 16:30:41,1900-01-00 00:00:00,,DC:A6:32:6D:2D:9B,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-01-19 16:30:41,1900-01-00 00:00:00,,DC:A6:32:6D:2D:9B,-11, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-01-19 16:30:41,1900-01-00 00:00:00,,00:C0:CA:B5:53:1F,-11,,0.000000,0.000000,0.000,0.000,Client
2025-01-19 16:30:41,1900-01-00 00:00:00,,1C:61:B4:64:14:48,-10,,0.000000,0.000000,0.000,0.000,Client
2025-01-19 16:30:41,1900-01-00 00:00:00,,DC:A6:32:6D:2D:9B,-58, WPA ,0.000000,0.000000,0.000,0.000,AP
2025-01-19 16:30:41,1900-01-00 00:00:00,,1C:61:B4:64:14:48,-10,,0.000000,0.000000,0.000,0.000,Client
