Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,voltage,temperature,current,charge,capacity,design_capacity,percentage,power_supply_status,power_supply_health,power_supply_technology,present,location,serial_number
1737286264.3197381,20731,1737286254,646859881,,0.0,0.0,-23.049999237060547,nan,nan,nan,0.0,2,0,0,True,id0,
1737286264.3198307,20732,1737286254,744199141,,0.0,0.0,-23.06999969482422,nan,nan,nan,0.0,2,0,0,True,id0,
1737286264.3201187,20733,1737286254,846764696,,0.0,0.0,-23.059999465942383,nan,nan,nan,0.0,2,0,0,True,id0,
1737286264.320148,20734,1737286254,946766751,,0.0,0.0,-23.100000381469727,nan,nan,nan,0.0,2,0,0,True,id0,
1737286264.3202994,20735,1737286255,46742696,,0.0,0.0,-23.18000030517578,nan,nan,nan,0.0,2,0,0,True,id0,
1737286264.3206925,20736,1737286255,146591214,,0.0,0.0,-23.170000076293945,nan,nan,nan,0.0,2,0,0,True,id0,
1737286264.3217897,20737,1737286255,247142529,,0.0,0.0,-23.219999313354492,nan,nan,nan,0.0,2,0,0,True,id0,
1737286264.3218508,20738,1737286255,344201770,,0.0,0.0,-23.149999618530273,nan,nan,nan,0.0,2,0,0,True,id0,
1737286264.3226192,20739,1737286255,446639510,,0.0,0.0,-23.399999618530273,nan,nan,nan,0.0,2,0,0,True,id0,
1737286264.3229146,20740,1737286255,546658381,,0.0,0.0,-23.06999969482422,nan,nan,nan,0.0,2,0,0,True,id0,
1737286264.3235426,20741,1737286255,646664584,,0.0,0.0,-23.3700008392334,nan,nan,nan,0.0,2,0,0,True,id0,
1737286264.3235722,20742,1737286255,746679807,,0.0,0.0,-23.34000015258789,nan,nan,nan,0.0,2,0,0,True,id0,
1737286264.3238254,20743,1737286255,846707325,,0.0,0.0,-23.18000030517578,nan,nan,nan,0.0,2,0,0,True,id0,
1737286264.3248105,20744,1737286255,944602232,,0.0,0.0,-23.1299991607666,nan,nan,nan,0.0,2,0,0,True,id0,
1737286264.3249147,20745,1737286256,47493936,,0.0,0.0,-23.329999923706055,nan,nan,nan,0.0,2,0,0,True,id0,
1737286264.3249428,20746,1737286256,144585843,,0.0,0.0,-23.299999237060547,nan,nan,nan,0.0,2,0,0,True,id0,
1737286264.3251352,20747,1737286256,246829473,,0.0,0.0,-23.25,nan,nan,nan,0.0,2,0,0,True,id0,
1737286264.32529,20748,1737286256,347250047,,0.0,0.0,-23.25,nan,nan,nan,0.0,2,0,0,True,id0,
1737286264.3257039,20749,1737286256,446825380,,0.0,0.0,-23.260000228881836,nan,nan,nan,0.0,2,0,0,True,id0,
