Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,severity,text
1737286266.5603602,59,1737286266,559787726,,6,EKF3 IMU1 MAG0 in-flight yaw alignment complete
1737286266.5674655,60,1737286266,566833078,,6,EKF3 IMU0 MAG0 in-flight yaw alignment complete
