Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
1737286264.2993479,20725,1737286254,247182976,map,-0.019511297236512817,-0.022788358434701856,0.0,0.0,0.0,0.0
1737286264.30031,20726,1737286254,247184768,map,-0.019511297236512817,-0.022788358434701856,0.0,0.0,0.0,0.0
1737286264.3076842,20727,1737286254,447187840,map,-0.03251882872752137,-0.03798059739116977,0.0,0.0,0.0,0.0
1737286264.3078868,20728,1737286254,447189888,map,-0.03251882872752137,-0.03798059739116977,0.0,0.0,0.0,0.0
1737286264.3081305,20729,1737286254,647191680,map,-0.02601506298201709,-0.03038447791293581,0.0,0.0,0.0,0.0
1737286264.3083572,20730,1737286254,647193728,map,-0.02601506298201709,-0.03038447791293581,0.0,0.0,0.0,0.0
1737286264.3091862,20731,1737286254,847197056,map,-0.09105272043705984,-0.10634567269527534,0.0,0.0,0.0,0.0
1737286264.311189,20732,1737286254,847198848,map,-0.09105272043705984,-0.10634567269527534,0.0,0.0,0.0,0.0
1737286264.3115592,20733,1737286255,47197312,map,-0.08454895469155556,-0.09874955321704139,0.0,0.0,0.0,0.0
1737286264.3119223,20734,1737286255,47199360,map,-0.08454895469155556,-0.09874955321704139,0.0,0.0,0.0,0.0
1737286264.3120728,20735,1737286255,247202432,map,-0.22848954638729113,0.026315911379428573,0.0,0.0,0.0,0.0
1737286264.3127396,20736,1737286255,247204480,map,-0.22848954638729113,0.026315911379428573,0.0,0.0,0.0,0.0
1737286264.3129337,20737,1737286255,447206272,map,-0.17881790586831478,0.020595061079552796,0.0,0.0,0.0,0.0
1737286264.3138847,20738,1737286255,447208576,map,-0.17881790586831478,0.020595061079552796,0.0,0.0,0.0,0.0
1737286264.3140428,20739,1737286255,647210624,map,-0.18209117400358785,0.2752141063790065,0.0,0.0,0.0,0.0
1737286264.3143172,20740,1737286255,647212672,map,-0.18209117400358785,0.2752141063790065,0.0,0.0,0.0,0.0
1737286264.3145635,20741,1737286255,847216000,map,-0.11259206860119048,0.37339392883134137,0.0,0.0,0.0,0.0
1737286264.3149197,20742,1737286255,847218304,map,-0.11259206860119048,0.37339392883134137,0.0,0.0,0.0,0.0
1737286264.315075,20743,1737286256,47221888,map,-0.07911618283239302,0.5745786539839706,0.0,0.0,0.0,0.0
1737286264.3152554,20744,1737286256,47223936,map,-0.07911618283239302,0.5745786539839706,0.0,0.0,0.0,0.0
1737286264.3157868,20745,1737286256,247225984,map,-0.03676995161709627,0.6189086933127345,0.0,0.0,0.0,0.0
1737286264.3161807,20746,1737286256,247228288,map,-0.03676995161709627,0.6189086933127345,0.0,0.0,0.0,0.0
1737286264.3177238,20747,1737286256,447231872,map,-0.02585776859064228,0.5994425542147578,0.0,0.0,0.0,0.0
1737286264.3279219,20748,1737286256,447234176,map,-0.02585776859064228,0.5994425542147578,0.0,0.0,0.0,0.0
1737286264.328044,20749,1737286256,647236480,map,0.011288239178786259,0.659903459345564,0.0,0.0,0.0,0.0
1737286264.328115,20750,1737286256,647238784,map,0.011288239178786259,0.659903459345564,0.0,0.0,0.0,0.0
1737286264.3282259,20751,1737286256,847240832,map,0.020155418718482955,0.6596921699522306,0.0,0.0,0.0,0.0
1737286264.3350396,20752,1737286256,847243136,map,0.020155418718482955,0.6596921699522306,0.0,0.0,0.0,0.0
1737286264.3389642,20753,1737286257,47245952,map,0.015260945381960753,0.5497882351833738,0.0,0.0,0.0,0.0
1737286264.3389988,20754,1737286257,47248256,map,0.015260945381960753,0.5497882351833738,0.0,0.0,0.0,0.0
1737286264.3390617,20755,1737286257,247250816,map,0.05429548299217428,0.4467124360555082,0.0,0.0,0.0,0.0
1737286264.3425722,20756,1737286257,247253376,map,0.05429548299217428,0.4467124360555082,0.0,0.0,0.0,0.0
1737286264.3426197,20757,1737286257,447255680,map,0.06502287852457772,0.6165809154266599,0.0,0.0,0.0,0.0
1737286264.3427374,20758,1737286257,447258496,map,0.06502287852457772,0.6165809154266599,0.0,0.0,0.0,0.0
1737286264.3427546,20759,1737286257,647260800,map,0.08186476368672371,0.5438732944965371,0.0,0.0,0.0,0.0
1737286264.3428066,20760,1737286257,647263104,map,0.08186476368672371,0.5438732944965371,0.0,0.0,0.0,0.0
1737286264.3429952,20761,1737286257,847264896,map,0.1269302680334721,0.5966478920242247,0.0,0.0,0.0,0.0
1737286264.3430176,20762,1737286257,847267456,map,0.1269302680334721,0.5966478920242247,0.0,0.0,0.0,0.0
1737286264.3430598,20763,1737286258,47269504,map,0.1844044651490175,0.6024076636573482,0.0,0.0,0.0,0.0
1737286264.3431544,20764,1737286258,47271808,map,0.1844044651490175,0.6024076636573482,0.0,0.0,0.0,0.0
1737286264.3454957,20765,1737286258,247273856,map,0.15399589598655897,0.5695482982322894,0.0,0.0,0.0,0.0
1737286264.3455753,20766,1737286258,247276416,map,0.15399589598655897,0.5695482982322894,0.0,0.0,0.0,0.0
1737286264.3455951,20767,1737286258,447278464,map,0.1609032237010239,0.4095243003810864,0.0,0.0,0.0,0.0
1737286264.3463056,20768,1737286258,447281024,map,0.1609032237010239,0.4095243003810864,0.0,0.0,0.0,0.0
1737286264.3473253,20769,1737286258,647283328,map,0.11809526319652378,0.34007868032345656,0.0,0.0,0.0,0.0
1737286264.3474903,20770,1737286258,647286144,map,0.11809526319652378,0.34007868032345656,0.0,0.0,0.0,0.0
1737286264.3476675,20771,1737286258,847288192,map,0.09790272546218237,0.3671716987283695,0.0,0.0,0.0,0.0
