Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,remote_timestamp_ns,observed_offset_ns,estimated_offset_ns,round_trip_time_ms
1737286269.080173,25584,1737286269,79557391,,2600404114000,1737283668673598465,1737283668673498112,3.673888921737671
1737286269.1792803,25585,1737286269,178570058,,2600504064000,1737283668673166863,1737283668673499136,2.6629440784454346
1737286269.2802937,25586,1737286269,279592632,,2600604118000,1737283668673621298,1737283668673501696,3.690463066101074
1737286269.3793273,25587,1737286269,378608243,,2600704051000,1737283668673197215,1737283668673502976,2.7041659355163574
1737286269.4803522,25588,1737286269,479620113,,2600804068000,1737283668673686345,1737283668673505536,3.714202880859375
1737286269.5792255,25589,1737286269,578641780,,2600904057000,1737283668673207844,1737283668673506816,2.7369439601898193
1737286269.6802325,25590,1737286269,679649335,,2601004092000,1737283668673674752,1737283668673509376,3.7481110095977783
1737286269.7792149,25591,1737286269,778640928,,2601104062000,1737283668673195594,1737283668673510656,2.751962900161743
1737286269.8803985,25592,1737286269,879677150,,2601204060000,1737283668673724372,1737283668673513472,3.7675371170043945
1737286269.9794674,25593,1737286269,978696354,,2601304029000,1737283668673263483,1737283668673514752,2.7908339500427246
1737286270.0803504,25594,1737286270,79701724,,2601404069000,1737283668673732316,1737283668673517568,3.785926103591919
1737286270.1794548,25595,1737286270,178727705,,2601504058000,1737283668673254113,1737283668673518848,2.814444065093994
1737286270.2803347,25596,1737286270,279737409,,2601604069000,1737283668673745279,1737283668673521664,3.8292970657348633
1737286270.3794677,25597,1737286270,378753353,,2601704014000,1737283668673309353,1737283668673523200,2.8414809703826904
1737286270.480287,25598,1737286270,479766890,,2601804070000,1737283668673756575,1737283668673525760,3.863740921020508
1737286270.5792809,25599,1737286270,578782872,,2601904045000,1737283668673290233,1737283668673527040,2.8789820671081543
1737286270.6804605,25600,1737286270,679810353,,2602004021000,1737283668673827436,1737283668673529856,3.905574083328247
1737286270.779394,25601,1737286270,778810946,,2602104065000,1737283668673284279,1737283668673531136,2.9065001010894775
1737286270.880565,25602,1737286270,879822075,,2602204063000,1737283668673792501,1737283668673533952,3.9150190353393555
1737286270.9795163,25603,1737286270,978831575,,2602304014000,1737283668673346520,1737283668673535232,2.925518035888672
1737286271.080414,25604,1737286271,79851594,,2602403970000,1737283668673892566,1737283668673538304,3.961074113845825
1737286271.179375,25605,1737286271,178862334,,2602504033000,1737283668673343075,1737283668673539584,2.9557220935821533
