Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,coordinate_frame,type_mask,latitude,longitude,altitude,velocity.x,velocity.y,velocity.z,acceleration_or_force.x,acceleration_or_force.y,acceleration_or_force.z,yaw,yaw_rate
1737286264.3153222,1125,1737286254,346182976,,0,65016,33.6371087,72.9912741,567.6400146484375,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1737286264.3155541,1126,1737286254,446184768,,0,65016,33.6371087,72.9912741,567.6400146484375,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1737286264.3164246,1127,1737286254,543187840,,0,65016,33.6371087,72.9912741,567.6400146484375,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1737286264.3180492,1128,1737286254,646189888,,0,65016,33.6371096,72.991274,567.6400146484375,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1737286264.3184478,1129,1737286254,743191680,,0,65016,33.6371104,72.9912739,567.6300048828125,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1737286264.3186047,1130,1737286254,846193728,,0,65016,33.6371104,72.9912739,567.6300048828125,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1737286264.3191037,1131,1737286254,946197056,,0,65016,33.6371104,72.9912739,567.6300048828125,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1737286264.320143,1132,1737286255,46198848,,0,65016,33.6371124,72.9912737,567.6199951171875,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1737286264.3202527,1133,1737286255,143197312,,0,65016,33.6371124,72.9912737,567.6199951171875,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1737286264.320582,1134,1737286255,246199360,,0,65016,33.6371124,72.9912737,567.6199951171875,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
