Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,airspeed,groundspeed,heading,throttle,altitude,climb
1729403412.4292352,2312,1729403412,428771147,,0.03190818801522255,0.03188840672373772,48,0.0,558.969970703125,-0.0011234129779040813
1729403412.529245,2313,1729403412,528655610,,0.030296513810753822,0.03029484488070011,48,0.0,558.969970703125,0.00031798568670637906
1729403412.6294057,2314,1729403412,628665554,,0.028075261041522026,0.028021788224577904,48,0.0,558.97998046875,0.0017319719772785902
1729403412.7297204,2315,1729403412,728600925,,0.02597762644290924,0.02589951455593109,48,0.0,558.989990234375,0.0020129813347011805
1729403412.829333,2316,1729403412,828604091,,0.024148251861333847,0.024063292890787125,48,0.0,558.989990234375,0.0020238319411873817
1729403412.930082,2317,1729403412,928600073,,0.022243250161409378,0.02214614674448967,48,0.0,558.989990234375,0.002076131757348776
1729403413.0307038,2318,1729403413,29000999,,0.020933745428919792,0.020891685038805008,48,0.0,558.989990234375,0.0013263500295579433
1729403413.131057,2319,1729403413,128828258,,0.020339496433734894,0.020320264622569084,48,0.0,558.97998046875,-0.0008842641254886985
1729403413.231223,2320,1729403413,229082887,,0.020308159291744232,0.02025775797665119,48,0.0,558.97998046875,-0.0014298525638878345
1729403413.3308635,2321,1729403413,327821424,,0.020999373868107796,0.02088070660829544,48,0.0,558.97998046875,-0.0022292882204055786
1729403413.4319003,2322,1729403413,428931091,,0.022408151999115944,0.021826328709721565,48,0.0,558.969970703125,-0.00507313571870327
1729403413.5311894,2323,1729403413,529030146,,0.023938126862049103,0.02272145263850689,48,0.0,558.9599609375,-0.007534550502896309
1729403413.629477,2324,1729403413,628838480,,0.02496141754090786,0.022970784455537796,48,0.0,558.9500122070312,-0.009768079966306686
1729403413.7293723,2325,1729403413,728784498,,0.02498568408191204,0.022948967292904854,48,0.0,558.9400024414062,-0.009880751371383667
1729403413.8305402,2326,1729403413,828782498,,0.022791648283600807,0.02169421687722206,48,0.0,558.9400024414062,-0.006987144239246845
1729403413.9296563,2327,1729403413,928848628,,0.01832249015569687,0.018258249387145042,48,0.0,558.9500122070312,-0.0015329323941841722
1729403414.0299442,2328,1729403414,28877331,,0.01494708564132452,0.014661729335784912,48,0.0,558.9599609375,0.0029067222494632006
1729403414.12967,2329,1729403414,128878294,,0.014459894970059395,0.012505586259067059,48,0.0,558.969970703125,0.007259398698806763
1729403414.2325938,2330,1729403414,229405831,,0.015682555735111237,0.0109371617436409,48,0.0,558.97998046875,0.011239264160394669
1729403414.3305051,2331,1729403414,328895683,,0.0174087043851614,0.00964264664798975,48,0.0,558.989990234375,0.014494218863546848
1729403414.431018,2332,1729403414,428929201,,0.019208956509828568,0.008863111957907677,48,0.0,559.0,0.01704198494553566
1729403414.5306811,2333,1729403414,529143442,,0.02025584876537323,0.008838724344968796,48,0.0,559.010009765625,0.01822570525109768
1729403414.6289089,2334,1729403414,628066664,,0.01888442039489746,0.008652660064399242,48,0.0,559.010009765625,0.01678549312055111
1729403414.7302907,2335,1729403414,728002812,,0.01959018036723137,0.00852409191429615,48,0.0,559.010009765625,0.017638452351093292
1729403414.8296945,2336,1729403414,828022516,,0.020124288275837898,0.009237639605998993,48,0.0,559.0199584960938,0.01787884160876274
1729403414.9298878,2337,1729403414,928163997,,0.021619534119963646,0.010459518991410732,48,0.0,559.0199584960938,0.018920961767435074
1729403415.0314066,2338,1729403415,28324442,,0.02397281490266323,0.012187589891254902,48,0.0,559.0299682617188,0.020643604919314384
1729403415.1314137,2339,1729403415,128070034,,0.02705223113298416,0.011022555641829967,48,0.0,559.0399780273438,0.024704787880182266
1729403415.2298656,2340,1729403415,228431590,,0.029139671474695206,0.009104854427278042,48,0.0,559.0499877929688,0.027680715546011925
1729403415.3314936,2341,1729403415,328593775,,0.03032614290714264,0.00818879995495081,48,0.0,559.0599975585938,0.0291996318846941
1729403415.429953,2342,1729403415,428551664,,0.030155422165989876,0.00666930852457881,48,0.0,559.0599975585938,0.029408669099211693
1729403415.5295157,2343,1729403415,528366016,,0.03185001388192177,0.004752670880407095,48,0.0,559.0700073242188,0.0314934216439724
1729403415.630044,2344,1729403415,628808904,,0.0306208785623312,0.004040984436869621,48,0.0,559.0700073242188,0.030353065580129623
1729403415.730438,2345,1729403415,728194108,,0.02795453369617462,0.005725359544157982,48,0.0,559.0599975585938,0.027361946180462837
1729403415.829736,2346,1729403415,828346015,,0.02664944902062416,0.006650096271187067,48,0.0,559.0599975585938,0.025806380435824394
1729403415.9296381,2347,1729403415,928393960,,0.026967084035277367,0.007347517181187868,48,0.0,559.0599975585938,0.02594682388007641
1729403416.0294847,2348,1729403416,28608589,,0.026621520519256592,0.007285052910447121,48,0.0,559.0599975585938,0.0256053376942873
1729403416.1298325,2349,1729403416,128519793,,0.02491045370697975,0.007850387133657932,48,0.0,559.0499877929688,0.023641111329197884
1729403416.2313766,2350,1729403416,228220904,,0.022693021222949028,0.0075800237245857716,48,0.0,559.0499877929688,0.021389635279774666
1729403416.331321,2351,1729403416,328678311,,0.02111554518342018,0.006340435706079006,48,0.0,559.0399780273438,0.020141130313277245
1729403416.4304602,2352,1729403416,428262237,,0.019114583730697632,0.004889763426035643,48,0.0,559.0299682617188,0.018478568643331528
1729403416.5306501,2353,1729403416,528432534,,0.01774391159415245,0.005585630889981985,48,0.0,559.0299682617188,0.0168418250977993
1729403416.6303725,2354,1729403416,628338034,,0.0141494395211339,0.00717738876119256,48,0.0,559.0199584960938,0.012193921022117138
