Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,voltage,temperature,current,charge,capacity,design_capacity,percentage,power_supply_status,power_supply_health,power_supply_technology,present,cell_voltage_0,location,serial_number
1729403412.3359053,2312,1729403412,335527221,,0.7200000286102295,0.0,-0.9300000071525574,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7200000286102295,id0,
1729403412.4408522,2313,1729403412,440510369,,0.7229999899864197,0.0,-0.9300000071525574,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7229999899864197,id0,
1729403412.5368404,2314,1729403412,535752888,,0.7239999771118164,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7239999771118164,id0,
1729403412.6389537,2315,1729403412,638534406,,0.718999981880188,0.0,-0.9300000071525574,nan,nan,nan,0.9200000166893005,2,0,0,True,0.718999981880188,id0,
1729403412.738854,2316,1729403412,738500795,,0.7170000076293945,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7170000076293945,id0,
1729403412.8408675,2317,1729403412,840504369,,0.7149999737739563,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7149999737739563,id0,
1729403412.938869,2318,1729403412,938513388,,0.7160000205039978,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7160000205039978,id0,
1729403413.040604,2319,1729403413,38195388,,0.722000002861023,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.722000002861023,id0,
1729403413.1417246,2320,1729403413,138962869,,0.7160000205039978,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7160000205039978,id0,
1729403413.2413256,2321,1729403413,240621647,,0.7160000205039978,0.0,-0.9100000262260437,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7160000205039978,id0,
1729403413.3412821,2322,1729403413,339066369,,0.7229999899864197,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7229999899864197,id0,
1729403413.4382164,2323,1729403413,437661202,,0.718999981880188,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.718999981880188,id0,
1729403413.538516,2324,1729403413,537745702,,0.7239999771118164,0.0,-0.9300000071525574,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7239999771118164,id0,
1729403413.6361618,2325,1729403413,635698128,,0.7170000076293945,0.0,-0.9300000071525574,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7170000076293945,id0,
1729403413.7414906,2326,1729403413,740757406,,0.7179999947547913,0.0,-0.9300000071525574,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7179999947547913,id0,
1729403413.840237,2327,1729403413,839080128,,0.7179999947547913,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7179999947547913,id0,
1729403413.9400198,2328,1729403413,938932350,,0.7110000252723694,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7110000252723694,id0,
1729403414.0414479,2329,1729403414,40749591,,0.7210000157356262,0.0,-0.9300000071525574,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7210000157356262,id0,
1729403414.1411302,2330,1729403414,139181813,,0.7170000076293945,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7170000076293945,id0,
1729403414.241688,2331,1729403414,240818109,,0.7229999899864197,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7229999899864197,id0,
1729403414.3393285,2332,1729403414,338847479,,0.7160000205039978,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7160000205039978,id0,
1729403414.4408202,2333,1729403414,439137072,,0.718999981880188,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.718999981880188,id0,
1729403414.5407174,2334,1729403414,539219813,,0.7210000157356262,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7210000157356262,id0,
1729403414.6399736,2335,1729403414,638315553,,0.7239999771118164,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7239999771118164,id0,
1729403414.7385557,2336,1729403414,737880331,,0.7229999899864197,0.0,-0.9300000071525574,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7229999899864197,id0,
1729403414.83848,2337,1729403414,837910701,,0.7200000286102295,0.0,-0.9300000071525574,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7200000286102295,id0,
1729403414.9386544,2338,1729403414,937971349,,0.7210000157356262,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7210000157356262,id0,
1729403415.0406597,2339,1729403415,39760923,,0.718999981880188,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.718999981880188,id0,
1729403415.1412628,2340,1729403415,138130442,,0.7129999995231628,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7129999995231628,id0,
1729403415.2387207,2341,1729403415,237998738,,0.7160000205039978,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7160000205039978,id0,
1729403415.3404758,2342,1729403415,339905942,,0.7200000286102295,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7200000286102295,id0,
1729403415.4397745,2343,1729403415,438408775,,0.7179999947547913,0.0,-0.9200000166893005,nan,nan,nan,0.9200000166893005,2,0,0,True,0.7179999947547913,id0,
