Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rssi,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7
1729403418.834922,2376,1729403418,832294528,,255,1502,1500,1003,1503,1003,999,1000,1000
1729403418.9302413,2377,1729403418,927290176,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403419.031979,2378,1729403419,29286080,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403419.1324468,2379,1729403419,130283264,,255,1502,1500,1003,1503,1002,1000,1000,1000
1729403419.2318492,2380,1729403419,229280960,,255,1502,1500,1003,1503,1003,1000,999,1000
1729403419.3299217,2381,1729403419,328275584,,255,1502,1500,1003,1503,1002,1000,1000,1000
1729403419.4322581,2382,1729403419,430273280,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403419.532032,2383,1729403419,529269184,,255,1502,1500,1003,1503,1002,1000,1000,1000
1729403419.6326935,2384,1729403419,629264832,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403419.7306874,2385,1729403419,727260736,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403419.8330255,2386,1729403419,830255360,,255,1502,1500,1003,1503,1002,1000,1000,1000
1729403419.9321506,2387,1729403419,930248448,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403420.0314002,2388,1729403420,29243328,,255,1502,1500,1003,1503,1003,1000,999,1000
1729403420.1299345,2389,1729403420,128239744,,255,1502,1500,1003,1503,1002,1000,1000,1000
1729403420.2315285,2390,1729403420,229237952,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403420.3316777,2391,1729403420,329234112,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403420.4315445,2392,1729403420,429230016,,255,1502,1500,1003,1503,1003,999,1000,1000
1729403420.5299082,2393,1729403420,528224896,,255,1502,1500,1003,1503,1003,1000,1000,1000
1729403420.632218,2394,1729403420,630222848,,255,1502,1500,1003,1503,1002,1000,1000,1000
