Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,time_ref.secs,time_ref.nsecs,source
1729403420.3361027,2391,1729403420,335601661,,1729403437,335431000,fcu
1729403420.4361067,2392,1729403420,435612679,,1729403437,435359000,fcu
1729403420.5317523,2393,1729403420,530858920,,1729403437,531161000,fcu
1729403420.6342337,2394,1729403420,633036494,,1729403437,633266000,fcu
1729403420.7385972,2395,1729403420,737749253,,1729403437,737922000,fcu
1729403420.8364763,2396,1729403420,833184420,,1729403437,833266000,fcu
1729403420.9367707,2397,1729403420,935783716,,1729403437,935530000,fcu
1729403421.0349183,2398,1729403421,33162698,,1729403438,33140000,fcu
1729403421.1337736,2399,1729403421,132821179,,1729403438,133060000,fcu
1729403421.2366006,2400,1729403421,233333938,,1729403438,233192000,fcu
1729403421.3349297,2401,1729403421,333297697,,1729403438,333139000,fcu
1729403421.437423,2402,1729403421,436162975,,1729403438,435613000,fcu
1729403421.5349143,2403,1729403421,533261197,,1729403438,533304000,fcu
1729403421.636978,2404,1729403421,635913993,,1729403438,635824000,fcu
1729403421.7368722,2405,1729403421,735893530,,1729403438,735526000,fcu
1729403421.8346457,2406,1729403421,833274827,,1729403438,833218000,fcu
1729403421.935111,2407,1729403421,933356790,,1729403438,933065000,fcu
1729403422.0352786,2408,1729403422,33417975,,1729403439,33157000,fcu
1729403422.1363518,2409,1729403422,134896789,,1729403439,135583000,fcu
1729403422.2345355,2410,1729403422,233380104,,1729403439,233080000,fcu
1729403422.3346217,2411,1729403422,333004363,,1729403439,332909000,fcu
1729403422.4359202,2412,1729403422,435001919,,1729403439,435314000,fcu
1729403422.5362604,2413,1729403422,535013882,,1729403439,535546000,fcu
1729403422.6360092,2414,1729403422,635008660,,1729403439,635363000,fcu
1729403422.73675,2415,1729403422,734966178,,1729403439,735624000,fcu
1729403422.8358173,2416,1729403422,835264511,,1729403439,835336000,fcu
1729403422.935662,2417,1729403422,933509993,,1729403439,933171000,fcu
1729403423.0350342,2418,1729403423,33538104,,1729403440,33064000,fcu
1729403423.1352556,2419,1729403423,133478493,,1729403440,133107000,fcu
1729403423.238625,2420,1729403423,233276881,,1729403440,233122000,fcu
1729403423.336169,2421,1729403423,333461048,,1729403440,333551000,fcu
1729403423.4357579,2422,1729403423,435096548,,1729403440,435609000,fcu
1729403423.5366056,2423,1729403423,535168437,,1729403440,535483000,fcu
1729403423.6386433,2424,1729403423,636506418,,1729403440,635904000,fcu
1729403423.7362094,2425,1729403423,735161529,,1729403440,735383000,fcu
1729403423.8351893,2426,1729403423,833537733,,1729403440,833137000,fcu
1729403423.9362507,2427,1729403423,933543807,,1729403440,933118000,fcu
1729403424.0355482,2428,1729403424,33635511,,1729403441,33191000,fcu
1729403424.1342914,2429,1729403424,133231770,,1729403441,132955000,fcu
1729403424.2361646,2430,1729403424,235323233,,1729403441,235408000,fcu
1729403424.3356743,2431,1729403424,333679047,,1729403441,333294000,fcu
1729403424.4342232,2432,1729403424,432654214,,1729403441,433115000,fcu
1729403424.5397186,2433,1729403424,535783973,,1729403441,535875000,fcu
1729403424.6351488,2434,1729403424,633652103,,1729403441,633101000,fcu
1729403424.7365096,2435,1729403424,733941584,,1729403441,733301000,fcu
1729403424.8331127,2436,1729403424,830846010,,1729403441,830955000,fcu
1729403424.9343548,2437,1729403424,932708214,,1729403441,933150000,fcu
1729403425.0383792,2438,1729403425,34086566,,1729403442,33192000,fcu
1729403425.1388867,2439,1729403425,138345158,,1729403442,138035000,fcu
1729403425.2356956,2440,1729403425,233367695,,1729403442,233083000,fcu
1729403425.335062,2441,1729403425,333772751,,1729403442,333173000,fcu
1729403425.435885,2442,1729403425,435376584,,1729403442,435569000,fcu
1729403425.5362973,2443,1729403425,532437473,,1729403442,532947000,fcu
1729403425.6368196,2444,1729403425,635400899,,1729403442,635609000,fcu
1729403425.7389367,2445,1729403425,735829510,,1729403442,736057000,fcu
1729403425.8382454,2446,1729403425,835560528,,1729403442,835627000,fcu
1729403425.933404,2447,1729403425,932489028,,1729403442,932948000,fcu
1729403426.0367374,2448,1729403426,32902509,,1729403443,33161000,fcu
1729403426.1373007,2449,1729403426,135708269,,1729403443,135574000,fcu
1729403426.2340207,2450,1729403426,232853954,,1729403443,233160000,fcu
1729403426.3364499,2451,1729403426,335535565,,1729403443,335537000,fcu
1729403426.4348876,2452,1729403426,432873102,,1729403443,433250000,fcu
1729403426.5344026,2453,1729403426,532710324,,1729403443,533080000,fcu
1729403426.636567,2454,1729403426,635584972,,1729403443,635353000,fcu
1729403426.737947,2455,1729403426,736001342,,1729403443,735740000,fcu
1729403426.8361807,2456,1729403426,835551287,,1729403443,835437000,fcu
1729403426.9363577,2457,1729403426,935576509,,1729403443,935380000,fcu
1729403427.0368378,2458,1729403427,35638250,,1729403444,35399000,fcu
1729403427.1349413,2459,1729403427,133006527,,1729403444,133142000,fcu
1729403427.234994,2460,1729403427,232691027,,1729403444,232935000,fcu
1729403427.3353992,2461,1729403427,334628953,,1729403444,335368000,fcu
1729403427.433671,2462,1729403427,432713842,,1729403444,433335000,fcu
1729403427.5365148,2463,1729403427,533085342,,1729403444,533182000,fcu
1729403427.63549,2464,1729403427,634693434,,1729403444,635365000,fcu
1729403427.734919,2465,1729403427,733043138,,1729403444,733089000,fcu
1729403427.8357399,2466,1729403427,834740990,,1729403444,835579000,fcu
1729403427.935196,2467,1729403427,933167805,,1729403444,933157000,fcu
1729403428.0356908,2468,1729403428,33223434,,1729403445,33342000,fcu
1729403428.1355104,2469,1729403428,133222601,,1729403445,133304000,fcu
1729403428.2348723,2470,1729403428,233179601,,1729403445,233114000,fcu
1729403428.3357537,2471,1729403428,334814415,,1729403445,335585000,fcu
1729403428.436482,2472,1729403428,435117304,,1729403445,435568000,fcu
1729403428.5325327,2473,1729403428,531222600,,1729403445,530839000,fcu
1729403428.6352348,2474,1729403428,633052582,,1729403445,633067000,fcu
1729403428.7357345,2475,1729403428,734888267,,1729403445,735476000,fcu
1729403428.8349106,2476,1729403428,833287508,,1729403445,833269000,fcu
1729403428.9353673,2477,1729403428,934860711,,1729403445,935694000,fcu
1729403429.03569,2478,1729403429,34920434,,1729403446,35523000,fcu
1729403429.1338596,2479,1729403429,132957100,,1729403446,133086000,fcu
1729403429.2351317,2480,1729403429,233349526,,1729403446,233133000,fcu
1729403429.3356102,2481,1729403429,334932915,,1729403446,335529000,fcu
1729403429.4359097,2482,1729403429,434983137,,1729403446,435312000,fcu
1729403429.535161,2483,1729403429,533376989,,1729403446,533139000,fcu
1729403429.6341195,2484,1729403429,633026322,,1729403446,633030000,fcu
1729403429.7375922,2485,1729403429,735034841,,1729403446,735478000,fcu
1729403429.8375037,2486,1729403429,835002007,,1729403446,835405000,fcu
1729403429.936903,2487,1729403429,933061600,,1729403446,932929000,fcu
1729403430.0350876,2488,1729403430,32225822,,1729403447,33128000,fcu
1729403430.1392748,2489,1729403430,138067062,,1729403447,137954000,fcu
1729403430.2360547,2490,1729403430,235052118,,1729403447,235509000,fcu
1729403430.3359613,2491,1729403430,333568470,,1729403447,333192000,fcu
1729403430.436093,2492,1729403430,435138414,,1729403447,435382000,fcu
1729403430.5350394,2493,1729403430,533503822,,1729403447,533167000,fcu
1729403430.6362157,2494,1729403430,635158988,,1729403447,635789000,fcu
1729403430.7366397,2495,1729403430,735425192,,1729403447,735627000,fcu
1729403430.836353,2496,1729403430,835194525,,1729403447,835588000,fcu
1729403430.9345427,2497,1729403430,932657451,,1729403447,933186000,fcu
1729403431.034389,2498,1729403431,32634766,,1729403448,33068000,fcu
1729403431.136121,2499,1729403431,135231247,,1729403448,135615000,fcu
1729403431.2350988,2500,1729403431,232275469,,1729403448,232954000,fcu
1729403431.3332386,2501,1729403431,330735691,,1729403448,330712000,fcu
1729403431.436724,2502,1729403431,435531340,,1729403448,435596000,fcu
1729403431.5360525,2503,1729403431,535229117,,1729403448,535503000,fcu
1729403431.6368635,2504,1729403431,635563525,,1729403448,635585000,fcu
1729403431.7349346,2505,1729403431,732676413,,1729403448,733208000,fcu
1729403431.834573,2506,1729403431,832489913,,1729403448,833091000,fcu
1729403431.9351273,2507,1729403431,932768321,,1729403448,933250000,fcu
1729403432.036137,2508,1729403432,35309098,,1729403449,35370000,fcu
1729403432.1340246,2509,1729403432,132677154,,1729403449,133046000,fcu
1729403432.2390888,2510,1729403432,235400561,,1729403449,235459000,fcu
1729403432.3343964,2511,1729403432,332762802,,1729403449,333180000,fcu
1729403432.4358833,2512,1729403432,434665135,,1729403449,435621000,fcu
1729403432.5350041,2513,1729403432,532894617,,1729403449,533188000,fcu
1729403432.6364274,2514,1729403432,635422654,,1729403449,635807000,fcu
1729403432.7335353,2515,1729403432,731005154,,1729403449,730831000,fcu
1729403432.8347802,2516,1729403432,832770598,,1729403449,833108000,fcu
1729403432.9339626,2517,1729403432,932548376,,1729403449,932950000,fcu
1729403433.0356104,2518,1729403433,34502950,,1729403450,35373000,fcu
1729403433.1351883,2519,1729403433,134615746,,1729403450,135394000,fcu
1729403433.237544,2520,1729403433,232785764,,1729403450,233096000,fcu
1729403433.3348043,2521,1729403433,332987209,,1729403450,333188000,fcu
1729403433.4359877,2522,1729403433,432929727,,1729403450,433113000,fcu
1729403433.5369253,2523,1729403433,532747709,,1729403450,533473000,fcu
1729403433.6362352,2524,1729403433,632533986,,1729403450,633045000,fcu
1729403433.7362943,2525,1729403433,734517134,,1729403450,735394000,fcu
1729403433.839411,2526,1729403433,834594801,,1729403450,835485000,fcu
1729403433.9375932,2527,1729403433,934674801,,1729403450,935422000,fcu
1729403434.0380948,2528,1729403434,32796468,,1729403451,33077000,fcu
1729403434.1355586,2529,1729403434,134587227,,1729403451,135343000,fcu
1729403434.235949,2530,1729403434,234753301,,1729403451,235322000,fcu
1729403434.3356748,2531,1729403434,333045282,,1729403451,333550000,fcu
1729403434.436312,2532,1729403434,434915690,,1729403451,435633000,fcu
1729403434.5342615,2533,1729403434,533027875,,1729403451,533070000,fcu
1729403434.634591,2534,1729403434,633110412,,1729403451,633300000,fcu
1729403434.7334864,2535,1729403434,732772745,,1729403451,732861000,fcu
1729403434.8389387,2536,1729403434,837773912,,1729403451,838115000,fcu
1729403434.9345336,2537,1729403434,933065060,,1729403451,933093000,fcu
1729403435.0355804,2538,1729403435,34766004,,1729403452,35524000,fcu
