Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,severity,text
1737286241.4256518,39,1737286241,424381834,,6,EKF3 IMU0 MAG0 in-flight yaw alignment complete
1737286241.4256938,40,1737286241,424853889,,6,EKF3 IMU1 MAG0 in-flight yaw alignment complete
