Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,framing_status,magic,len,incompat_flags,compat_flags,seq,sysid,compid,msgid,checksum,payload64_0,payload64_1,payload64_2,signature
1737286240.2855842,21141,1737286239,998833668,,1,253,22,0,0,130,1,1,193,47300,4341182768629503606,4370915538720080691,3569117822976,b''
1737286240.2856798,21142,1737286239,998861020,,1,253,28,0,0,131,1,1,32,57190,13923485187026947349,13847738047528333231,4367857730328481608,11270275675780546380,b''
1737286240.2857194,21143,1737286239,998932909,,1,253,20,0,0,132,1,1,241,18802,2592021431,4695415023964512661,1101650659,b''
1737286240.285732,21144,1737286240,521112,,1,253,41,0,0,133,1,1,147,50099,73014444693,18446744069461999615,18446744073709551615,25895697857380351,1191182336,3,b''
1737286240.2857518,21145,1737286240,63473260,,1,253,16,0,0,134,1,1,111,53724,2592083908000,1737286240059020112,b''
1737286240.2858365,21146,1737286240,90580723,,1,253,28,0,0,135,1,1,30,20752,13557702656585600369,4367737982296758400,13606024091288171501,25895694607297180,b''
1737286240.285848,21147,1737286240,90645853,,1,253,27,0,0,136,1,1,33,6670,1444703930384092529,2515348326815155,281432027039142,25895693569687434,b''
1737286240.2858725,21148,1737286240,90974075,,1,253,31,0,0,137,1,1,1,22320,4855439153475746863,204072138124164143,92,19984723346456576,b''
1737286240.2859166,21149,1737286240,93588057,,1,253,4,0,0,138,1,1,125,34382,4855161873580757472,b''
1737286240.2859435,21150,1737286240,93622890,,1,253,6,0,0,139,1,1,152,64865,186610586484736,b''
1737286240.2859554,21151,1737286240,93640983,,1,253,21,0,0,140,1,1,62,1996,4534289516963343787,1029568266,13919393209,b''
1737286240.2860858,21152,1737286240,93656242,,1,253,5,0,0,141,1,1,42,8641,4534289204515110912,b''
1737286240.2861109,21153,1737286240,93724797,,1,253,19,0,0,142,1,1,74,47281,4456115084193182813,4582302434605558169,12885819393,b''
1737286240.2861252,21154,1737286240,93761649,,1,253,12,0,0,143,1,1,36,16,412367895809527521,103089560,b''
1737286240.2861483,21155,1737286240,96562686,,1,253,42,0,0,144,1,1,65,56646,422781857472941431,422216755836748782,65536999,0,0,65288,b''
1737286240.2861588,21156,1737286240,96692612,,1,253,29,0,0,145,1,1,27,2530,2592119179,74587054900379633,12386775884693484,63971525163,b''
1737286240.2861705,21157,1737286240,96730631,,1,253,24,0,0,146,1,1,116,51029,39125120549621111,7318452472052838,1089028432952230158,b''
1737286240.2861922,21158,1737286240,96743371,,1,253,14,0,0,147,1,1,29,62407,4895129129544289655,14289356193792,b''
1737286240.2862043,21159,1737286240,98558816,,1,253,44,0,0,148,1,1,24,53941,2592084000,3134951420584566425,28710756862671904,11351903416209899542,385620718160183303,19726336,b''
1737286240.2862353,21160,1737286240,98731483,,1,253,11,0,0,149,1,1,2,12631,1737286240814357,3134951420250787193,b''
1737286240.2862482,21161,1737286240,98763797,,1,253,28,0,0,150,1,1,163,6590,4341039439094810953,3134825609,4414819578165592064,11351903416862715110,b''
1737286240.2862818,21162,1737286240,98782112,,1,253,24,0,0,151,1,1,178,5124,4264798568414795949,4905190536013404898,3134951420584566423,b''
1737286240.286293,21163,1737286240,101483946,,1,253,4,0,0,152,1,1,168,57128,3274964992,b''
1737286240.2863047,21164,1737286240,101529094,,1,253,22,0,0,153,1,1,136,48864,3134951411994631826,4661314800466332059,3134788739771924580,b''
1737286240.2863266,21165,1737286240,103557890,,1,253,22,0,0,154,1,1,193,59665,4338873472093049143,4371608750737086945,3569117822976,b''
1737286240.286338,21166,1737286240,103588964,,1,253,28,0,0,155,1,1,32,26935,13923545299389222270,13850017300772972984,4396273474479553345,11351903419025987796,b''
1737286240.2863488,21167,1737286240,103730612,,1,253,20,0,0,156,1,1,241,46951,2592126251,4708384656968758235,1095011604,b''
1737286240.2863734,21168,1737286240,103774520,,1,253,41,0,0,157,1,1,147,63072,73014444693,18446744069462130687,18446744073709551615,26177172834091007,1191182336,3,b''
1737286240.286399,21169,1737286240,163495168,,1,253,16,0,0,158,1,1,111,36194,2592184164000,1737286240158996631,b''
1737286240.2864215,21170,1737286240,186602964,,1,253,28,0,0,159,1,1,30,51466,13538720833872563665,4402036294056390849,13564960091505480282,26177169579446627,b''
