Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,coordinate_frame,type_mask,latitude,longitude,altitude,velocity.x,velocity.y,velocity.z,acceleration_or_force.x,acceleration_or_force.y,acceleration_or_force.z,yaw,yaw_rate
1729690891.5521607,21667,0,0,,6,4088,33.63710418045728,72.99131330602437,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690891.6049385,22084,0,0,,6,4088,33.63710418045728,72.99131330602437,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690891.607322,22086,0,0,,6,4088,33.637104134381595,72.991313060536,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690891.7063625,22861,0,0,,6,4088,33.637104134381595,72.991313060536,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690891.7704053,23320,0,0,,6,4088,33.63710367143114,72.99131239306912,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690891.7894952,23432,0,0,,6,4088,33.63710367143114,72.99131239306912,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690891.8601177,24047,0,0,,6,4088,33.637103086129365,72.99131169352871,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690891.8642075,24048,0,0,,6,4088,33.637103086129365,72.99131169352871,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690891.9062607,24417,0,0,,6,4088,33.637102609889965,72.99131110137267,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690891.9578815,24768,0,0,,6,4088,33.637102609889965,72.99131110137267,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690891.99278,25065,0,0,,6,4088,33.637102609889965,72.99131110137267,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.0033023,25137,0,0,,6,4088,33.637102609889965,72.99131110137267,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.0163083,25200,0,0,,6,4088,33.637102310466275,72.99131069503028,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.0568676,25544,0,0,,6,4088,33.637102310466275,72.99131069503028,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.1050208,25929,0,0,,6,4088,33.637102310466275,72.99131069503028,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.2530723,26421,0,0,,6,4088,33.63710202799253,72.99131051382216,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.2582014,26697,0,0,,6,4088,33.63710202799253,72.99131051382216,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.2582352,26699,0,0,,6,4088,33.63710222719471,72.99131072602671,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.261137,27116,0,0,,6,4088,33.63710202719471,72.99131072602663,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.2650921,27169,0,0,,6,4088,33.63710202719471,72.99131072602663,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.3862152,27484,0,0,,6,4088,33.63710183896913,72.99131064399182,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.3910491,27510,0,0,,6,4088,33.63710183896913,72.99131064399182,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.3910718,28140,0,0,,6,4088,33.63710183896913,72.99131064399182,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.405232,28258,0,0,,6,4088,33.63710183896913,72.99131064399182,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.4107285,28301,0,0,,6,4088,33.63710156843752,72.99131057496115,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.4133012,28305,0,0,,6,4088,33.63710156843752,72.99131057496115,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.4147868,28306,0,0,,6,4088,33.63710156843752,72.99131057496115,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.4162917,28313,0,0,,6,4088,33.63710156843752,72.99131057496115,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.5573497,29423,0,0,,6,4088,33.637101150753786,72.991310456383,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.6482112,29812,0,0,,6,4088,33.637101150753786,72.991310456383,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.6521003,29862,0,0,,6,4088,33.63710098653579,72.99131059852944,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.7792332,30570,0,0,,6,4088,33.63710098653579,72.99131059852944,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.7884247,30616,0,0,,6,4088,33.63710071685778,72.9913106338819,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.7884655,31049,0,0,,6,4088,33.63710071685778,72.9913106338819,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.804207,31340,0,0,,6,4088,33.63710071685778,72.9913106338819,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.8079464,31347,0,0,,6,4088,33.637102354058044,72.99131252785125,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.8613055,31762,0,0,,6,4088,33.637102354058044,72.99131252785125,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.9587429,32126,0,0,,6,4088,33.637102354058044,72.99131252785125,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.9593315,32136,0,0,,6,4088,33.637099283372294,72.99130974973174,1.2580000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.9595299,32137,0,0,,6,4088,33.637099283372294,72.99130974973174,1.2580000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.9595642,32269,0,0,,6,4088,33.637099283372294,72.99130974973174,1.2580000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.9595926,32271,0,0,,6,4088,33.637099283372294,72.99130974973174,1.2580000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.960472,32274,0,0,,6,4088,33.637099283372294,72.99130974973174,1.2580000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.960678,32276,0,0,,6,4088,33.637099283372294,72.99130974973174,1.2580000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.9607124,32279,0,0,,6,4088,33.637099283372294,72.99130974973174,1.2580000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.9607358,32282,0,0,,6,4088,33.637099283372294,72.99130974973174,1.2580000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.9607596,32283,0,0,,6,4088,33.637099283372294,72.99130974973174,1.2580000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.9614224,32285,0,0,,6,4088,33.637099283372294,72.99130974973174,1.2580000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.961463,32290,0,0,,6,4088,33.637099283372294,72.99130974973174,1.2580000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.9614997,32297,0,0,,6,4088,33.637099283372294,72.99130974973174,1.2580000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.961539,32312,0,0,,6,4088,33.637099283372294,72.99130974973174,1.2580000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.9615633,32326,0,0,,6,4088,33.637099283372294,72.99130974973174,1.2580000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.961584,32327,0,0,,6,4088,33.637099283372294,72.99130974973174,1.2580000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.9619431,32341,0,0,,6,4088,33.637099283372294,72.99130974973174,1.2580000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.9619687,32356,0,0,,6,4088,33.637099283372294,72.99130974973174,1.2580000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.9621181,32370,0,0,,6,4088,33.637099283372294,72.99130974973174,1.2580000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.962691,32385,0,0,,6,4088,33.637099283372294,72.99130974973174,1.2580000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690892.9650257,32475,0,0,,6,4088,33.637099283372294,72.99130974973174,1.2580000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690893.088599,32775,0,0,,6,4088,33.637099283372294,72.99130974973174,1.2580000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690893.0948198,33460,0,0,,6,4088,33.63709358448603,72.99130289106283,1.2660000324249268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690893.1071103,33560,0,0,,6,4088,33.63709358448603,72.99130289106283,1.2660000324249268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690893.115959,33584,0,0,,6,4088,33.6370911734447,72.99129926032988,1.2710000276565552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690893.2247117,34354,0,0,,6,4088,33.63709177193846,72.9913009581896,1.2760000228881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690893.2268958,34415,0,0,,6,4088,33.63709177193846,72.9913009581896,1.2760000228881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690893.2586033,34684,0,0,,6,4088,33.63709177193846,72.9913009581896,1.2760000228881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690893.395751,35580,0,0,,6,4088,33.63709177193846,72.9913009581896,1.2760000228881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690893.4024997,35719,0,0,,6,4088,33.63709420324343,72.9913052723066,1.2730000019073486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690893.4025464,35720,0,0,,6,4088,33.63709420324343,72.9913052723066,1.2730000019073486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690893.5694091,36583,0,0,,6,4088,33.637094003243426,72.99130547230652,1.2730000019073486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690893.579825,36588,0,0,,6,4088,33.63709380324343,72.99130557230644,1.2599999904632568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690893.5799074,36591,0,0,,6,4088,33.63709380324343,72.99130557230644,1.2599999904632568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690893.5799415,36593,0,0,,6,4088,33.63709380324343,72.99130557230644,1.2599999904632568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690893.5799682,36595,0,0,,6,4088,33.637097170374446,72.99130978303678,1.2599999904632568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690893.5801303,36597,0,0,,6,4088,33.637097170374446,72.99130978303678,1.2599999904632568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690893.5801578,36599,0,0,,6,4088,33.637097170374446,72.99130978303678,1.2599999904632568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690893.5805068,36600,0,0,,6,4088,33.637097170374446,72.99130978303678,1.2599999904632568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
