Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,severity,text
1729690896.5810485,65,1729690896,580751874,,6,EKF3 IMU1 MAG0 in-flight yaw alignment complete
1729690897.7961822,66,1729690897,795834281,,6,EKF3 IMU0 MAG0 in-flight yaw alignment complete
