Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,coordinate_frame,type_mask,latitude,longitude,altitude,velocity.x,velocity.y,velocity.z,acceleration_or_force.x,acceleration_or_force.y,acceleration_or_force.z,yaw,yaw_rate
1729690891.1206765,296,1729690890,771123008,,0,65016,33.6370995,72.9913152,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690891.1212838,297,1729690890,890123008,,0,65016,33.6370995,72.9913152,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690891.1218443,298,1729690890,978123008,,0,65016,33.6370996,72.9913153,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690891.1221266,299,1729690891,78123008,,0,65016,33.6370996,72.9913153,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690891.173218,300,1729690891,171123008,,0,65016,33.6370996,72.9913153,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690891.272115,301,1729690891,270123008,,0,65016,33.6370996,72.9913153,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690891.3870978,302,1729690891,383123008,,0,65016,33.6370996,72.9913153,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690891.470205,303,1729690891,468123008,,0,65016,33.6370996,72.9913153,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690891.5796793,304,1729690891,578123008,,0,65016,33.6371033,72.9913149,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690891.674143,305,1729690891,671121216,,0,65016,33.637104,72.9913129,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690891.777093,306,1729690891,775119424,,0,65016,33.6371036,72.9913123,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690891.874037,307,1729690891,871119424,,0,65016,33.637103,72.9913115,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690891.9696453,308,1729690891,966115584,,0,65016,33.637103,72.9913115,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690892.0726373,309,1729690892,69113536,,0,65016,33.6371023,72.9913106,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690892.1699362,310,1729690892,166113280,,0,65016,33.637102,72.9913105,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690892.2701478,311,1729690892,268113024,,0,65016,33.6371022,72.9913107,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690892.369892,312,1729690892,368112768,,0,65016,33.637102,72.9913107,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690892.4705431,313,1729690892,468112768,,0,65016,33.6371014,72.9913105,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690892.5717776,314,1729690892,570113024,,0,65016,33.637101,72.9913103,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690892.6802607,315,1729690892,678113792,,0,65016,33.6371008,72.9913105,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690892.7722428,316,1729690892,770114560,,0,65016,33.6371008,72.9913105,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690892.8726583,317,1729690892,871113792,,0,65016,33.6371023,72.9913125,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690892.9883006,318,1729690892,983113280,,0,65016,33.6370992,72.9913097,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
1729690893.0796783,319,1729690893,78113280,,0,65016,33.6370992,72.9913097,536.4299926757812,0.0,0.0,-0.0,0.0,0.0,-0.0,1.5707963705062866,-0.0
