Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,time_ref.secs,time_ref.nsecs,source
1729690891.121917,1616,1729690891,74344840,,1729690885,501716000,fcu
1729690891.169426,1617,1729690891,167314563,,1729690885,596348000,fcu
1729690891.2669768,1618,1729690891,265767655,,1729690885,693587000,fcu
1729690891.3802657,1619,1729690891,378964896,,1729690885,805708000,fcu
1729690891.4663725,1620,1729690891,464143988,,1729690885,891474000,fcu
1729690891.5728247,1621,1729690891,570590988,,1729690885,998584000,fcu
1729690891.6642857,1622,1729690891,663156118,,1729690886,92703000,fcu
1729690891.7644582,1623,1729690891,762913377,,1729690886,192951000,fcu
1729690891.864811,1624,1729690891,863868525,,1729690886,292935000,fcu
1729690891.962255,1625,1729690891,960910321,,1729690886,390431000,fcu
1729690892.0648658,1626,1729690892,63883118,,1729690886,493706000,fcu
1729690892.1618645,1627,1729690892,160916469,,1729690886,590615000,fcu
1729690892.261569,1628,1729690892,261332006,,1729690886,690574000,fcu
1729690892.3615396,1629,1729690892,360987506,,1729690886,790589000,fcu
1729690892.4617867,1630,1729690892,461063877,,1729690886,890853000,fcu
1729690892.5644107,1631,1729690892,562240710,,1729690886,991089000,fcu
1729690892.6704693,1632,1729690892,669121451,,1729690887,98313000,fcu
1729690892.7634091,1633,1729690892,761074821,,1729690887,190563000,fcu
1729690892.863875,1634,1729690892,862394173,,1729690887,291123000,fcu
1729690892.9817262,1635,1729690892,980280710,,1729690887,409214000,fcu
1729690893.0726871,1636,1729690893,68011654,,1729690887,492303000,fcu
1729690893.1666632,1637,1729690893,163259395,,1729690887,590951000,fcu
1729690893.2652342,1638,1729690893,261203950,,1729690887,690600000,fcu
1729690893.3645356,1639,1729690893,361394654,,1729690887,790675000,fcu
1729690893.4622536,1640,1729690893,461171265,,1729690887,890676000,fcu
1729690893.5618389,1641,1729690893,561144395,,1729690887,990545000,fcu
1729690893.6621742,1642,1729690893,661156450,,1729690888,90500000,fcu
1729690893.7648613,1643,1729690893,764197746,,1729690888,193318000,fcu
1729690893.8636768,1644,1729690893,862285709,,1729690888,291468000,fcu
1729690893.963731,1645,1729690893,962326931,,1729690888,391462000,fcu
1729690894.0651066,1646,1729690894,64231598,,1729690888,493659000,fcu
1729690894.1633246,1647,1729690894,162250505,,1729690888,591920000,fcu
1729690894.2711546,1648,1729690894,264309061,,1729690888,693706000,fcu
1729690894.3644023,1649,1729690894,361919394,,1729690888,791114000,fcu
1729690894.4652958,1650,1729690894,463690913,,1729690888,892485000,fcu
1729690894.5645525,1651,1729690894,562784338,,1729690888,992263000,fcu
1729690894.666217,1652,1729690894,663808690,,1729690889,92608000,fcu
1729690894.7654836,1653,1729690894,763793838,,1729690889,192617000,fcu
1729690894.865034,1654,1729690894,863353005,,1729690889,292835000,fcu
1729690894.9670298,1655,1729690894,965462338,,1729690889,395207000,fcu
1729690895.062327,1656,1729690895,61425616,,1729690889,490657000,fcu
1729690895.181257,1657,1729690895,179689449,,1729690889,608475000,fcu
1729690895.2650123,1658,1729690895,263550986,,1729690889,693021000,fcu
1729690895.3633962,1659,1729690895,359857412,,1729690889,788665000,fcu
1729690895.4661248,1660,1729690895,464426708,,1729690889,894225000,fcu
1729690895.5634058,1661,1729690895,562538467,,1729690889,991498000,fcu
1729690895.6657667,1662,1729690895,663879467,,1729690890,92282000,fcu
1729690895.7657354,1663,1729690895,763893801,,1729690890,192298000,fcu
1729690895.86864,1664,1729690895,864103764,,1729690890,292717000,fcu
1729690895.9641309,1665,1729690895,963583060,,1729690890,392841000,fcu
1729690896.0622625,1666,1729690896,61542838,,1729690890,490591000,fcu
1729690896.164469,1667,1729690896,163506782,,1729690890,592949000,fcu
1729690896.2639956,1668,1729690896,263614504,,1729690890,692926000,fcu
1729690896.3621004,1669,1729690896,361486634,,1729690890,790721000,fcu
1729690896.46188,1670,1729690896,461513559,,1729690890,890930000,fcu
1729690896.5623753,1671,1729690896,561534467,,1729690890,990543000,fcu
1729690896.6622813,1672,1729690896,661556226,,1729690891,91345000,fcu
1729690896.763284,1673,1729690896,762576967,,1729690891,191923000,fcu
1729690896.866168,1674,1729690896,864134596,,1729690891,293257000,fcu
1729690896.9832032,1675,1729690896,966829855,,1729690891,396012000,fcu
1729690897.0677147,1676,1729690897,66643041,,1729690891,493426000,fcu
1729690897.1643615,1677,1729690897,163737170,,1729690891,593388000,fcu
1729690897.2620852,1678,1729690897,261665096,,1729690891,691346000,fcu
1729690897.3725748,1679,1729690897,371773096,,1729690891,797562000,fcu
1729690897.4616241,1680,1729690897,460806189,,1729690891,890203000,fcu
1729690897.5661776,1681,1729690897,565648670,,1729690891,994877000,fcu
1729690897.662334,1682,1729690897,661691688,,1729690892,91326000,fcu
1729690897.7636302,1683,1729690897,762842688,,1729690892,192501000,fcu
1729690897.8626466,1684,1729690897,861886836,,1729690892,291473000,fcu
1729690897.967031,1685,1729690897,965868355,,1729690892,395217000,fcu
1729690898.0624127,1686,1729690898,61191003,,1729690892,490879000,fcu
1729690898.164303,1687,1729690898,163105670,,1729690892,591997000,fcu
1729690898.2658308,1688,1729690898,263914540,,1729690892,693035000,fcu
1729690898.3673677,1689,1729690898,365886392,,1729690892,794864000,fcu
1729690898.463736,1690,1729690898,462185873,,1729690892,891071000,fcu
1729690898.5647452,1691,1729690898,562841114,,1729690892,992636000,fcu
1729690898.664437,1692,1729690898,661961780,,1729690893,91843000,fcu
1729690898.766828,1693,1729690898,764149854,,1729690893,191567000,fcu
1729690898.8649201,1694,1729690898,863216595,,1729690893,292629000,fcu
