Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
1737285429.1285112,12556,1737285428,657811712,map,-0.021969157132623957,-0.020429295995752713,0.0,0.0,0.0,0.0
1737285429.1286442,12557,1737285428,857809664,map,-0.0366152618877066,-0.034048826659587854,0.0,0.0,0.0,0.0
1737285429.1288967,12558,1737285428,857805056,map,-0.0366152618877066,-0.034048826659587854,0.0,0.0,0.0,0.0
1737285429.1359127,12559,1737285429,57797888,map,-0.04393831426524791,-0.040858591991505426,0.0,0.0,0.0,0.0
1737285429.2326987,12560,1737285429,57794816,map,-0.04393831426524791,-0.040858591991505426,0.0,0.0,0.0,0.0
1737285429.3399389,12561,1737285429,257791232,map,-0.014646104755082639,-0.013619530663835143,0.0,0.0,0.0,0.0
1737285429.442924,12562,1737285429,257787392,map,-0.014646104755082639,-0.013619530663835143,0.0,0.0,0.0,0.0
1737285429.5401542,12563,1737285429,457784832,map,-0.0,-0.0,0.0,0.0,0.0,0.0
1737285429.6426823,12564,1737285429,457780992,map,-0.0,-0.0,0.0,0.0,0.0,0.0
1737285429.7332892,12565,1737285429,657775872,map,-0.029292209510165278,-0.027239061327670285,0.0,0.0,0.0,0.0
1737285429.8424795,12566,1737285429,657769216,map,-0.029292209510165278,-0.027239061327670285,0.0,0.0,0.0,0.0
1737285429.9409692,12567,1737285429,857764352,map,-0.04393831426524791,-0.040858591991505426,0.0,0.0,0.0,0.0
1737285430.0386193,12568,1737285429,857755648,map,-0.04393831426524791,-0.040858591991505426,0.0,0.0,0.0,0.0
1737285430.1371489,12569,1737285430,57748736,map,-0.06590747139787187,-0.061287887987258136,0.0,0.0,0.0,0.0
1737285430.2407577,12570,1737285430,57745920,map,-0.06590747139787187,-0.061287887987258136,0.0,0.0,0.0,0.0
1737285430.3342311,12571,1737285430,257740288,map,-0.0366152618877066,-0.034048826659587854,0.0,0.0,0.0,0.0
1737285430.4335303,12572,1737285430,257734656,map,-0.0366152618877066,-0.034048826659587854,0.0,0.0,0.0,0.0
1737285430.535019,12573,1737285430,457730304,map,-0.0366152618877066,-0.034048826659587854,0.0,0.0,0.0,0.0
1737285430.6329868,12574,1737285430,457726208,map,-0.0366152618877066,-0.034048826659587854,0.0,0.0,0.0,0.0
1737285430.7347646,12575,1737285430,657722112,map,-0.04393831426524791,-0.040858591991505426,0.0,0.0,0.0,0.0
1737285430.8342514,12576,1737285430,657717504,map,-0.04393831426524791,-0.040858591991505426,0.0,0.0,0.0,0.0
1737285430.9350767,12577,1737285430,857710592,map,-0.029292209510165278,-0.027239061327670285,0.0,0.0,0.0,0.0
1737285431.0339718,12578,1737285430,857706496,map,-0.029292209510165278,-0.027239061327670285,0.0,0.0,0.0,0.0
1737285431.140868,12579,1737285431,57693952,map,-0.0,-0.0,0.0,0.0,0.0,0.0
1737285431.2326372,12580,1737285431,57688832,map,-0.0,-0.0,0.0,0.0,0.0,0.0
1737285431.3332064,12581,1737285431,257681152,map,-0.04393831426524791,-0.040858591991505426,0.0,0.0,0.0,0.0
1737285431.437064,12582,1737285431,257673984,map,-0.04393831426524791,-0.040858591991505426,0.0,0.0,0.0,0.0
1737285431.5335274,12583,1737285431,457670144,map,-0.021969157132623957,-0.020429295995752713,0.0,0.0,0.0,0.0
1737285431.6327538,12584,1737285431,457666560,map,-0.021969157132623957,-0.020429295995752713,0.0,0.0,0.0,0.0
1737285431.7350225,12585,1737285431,657659904,map,-0.0366152618877066,-0.034048826659587854,0.0,0.0,0.0,0.0
1737285431.8325064,12586,1737285431,657655040,map,-0.0366152618877066,-0.034048826659587854,0.0,0.0,0.0,0.0
1737285431.93647,12587,1737285431,857643776,map,-0.08055357615295451,-0.07490741865109328,0.0,0.0,0.0,0.0
1737285432.0328004,12588,1737285431,857638912,map,-0.08055357615295451,-0.07490741865109328,0.0,0.0,0.0,0.0
1737285432.1347706,12589,1737285432,57636352,map,-0.029292209510165278,-0.027239061327670285,0.0,0.0,0.0,0.0
1737285432.232024,12590,1737285432,57632512,map,-0.029292209510165278,-0.027239061327670285,0.0,0.0,0.0,0.0
1737285432.3333158,12591,1737285432,257625856,map,-0.058584419020330555,-0.05447812265534057,0.0,0.0,0.0,0.0
1737285432.4340503,12592,1737285432,257620736,map,-0.058584419020330555,-0.05447812265534057,0.0,0.0,0.0,0.0
1737285432.533272,12593,1737285432,457620736,map,-0.007323052377541319,-0.006809765331917571,0.0,0.0,0.0,0.0
1737285432.6371,12594,1737285432,457617408,map,-0.007323052377541319,-0.006809765331917571,0.0,0.0,0.0,0.0
1737285432.7341099,12595,1737285432,657612800,map,-0.04393831426524791,-0.040858591991505426,0.0,0.0,0.0,0.0
1737285432.835651,12596,1737285432,657609728,map,-0.04393831426524791,-0.040858591991505426,0.0,0.0,0.0,0.0
1737285432.9343765,12597,1737285432,857605632,map,-0.0366152618877066,-0.034048826659587854,0.0,0.0,0.0,0.0
1737285433.0355468,12598,1737285432,857601536,map,-0.0366152618877066,-0.034048826659587854,0.0,0.0,0.0,0.0
1737285433.1340492,12599,1737285433,57594880,map,-0.058584419020330555,-0.05447812265534057,0.0,0.0,0.0,0.0
1737285433.2335813,12600,1737285433,57589504,map,-0.058584419020330555,-0.05447812265534057,0.0,0.0,0.0,0.0
1737285433.3324246,12601,1737285433,257588736,map,-0.05126136664278924,-0.047668357323423005,0.0,0.0,0.0,0.0
1737285433.4346037,12602,1737285433,257582080,map,-0.05126136664278924,-0.047668357323423005,0.0,0.0,0.0,0.0
1737285433.5336096,12603,1737285433,457578240,map,-0.06590747139787187,-0.061287887987258136,0.0,0.0,0.0,0.0
1737285433.6345992,12604,1737285433,457570048,map,-0.06590747139787187,-0.061287887987258136,0.0,0.0,0.0,0.0
1737285433.734604,12605,1737285433,657567232,map,-0.04393831426524791,-0.040858591991505426,0.0,0.0,0.0,0.0
1737285433.8315785,12606,1737285433,657563904,map,-0.04393831426524791,-0.040858591991505426,0.0,0.0,0.0,0.0
1737285433.9330587,12607,1737285433,857560576,map,-0.029292209510165278,-0.027239061327670285,0.0,0.0,0.0,0.0
1737285434.033155,12608,1737285433,857557248,map,-0.029292209510165278,-0.027239061327670285,0.0,0.0,0.0,0.0
1737285434.136101,12609,1737285434,57556224,map,-0.0366152618877066,-0.034048826659587854,0.0,0.0,0.0,0.0
1737285434.2344947,12610,1737285434,57552128,map,-0.0366152618877066,-0.034048826659587854,0.0,0.0,0.0,0.0
1737285434.3316412,12611,1737285434,257547520,map,-0.029292209510165278,-0.027239061327670285,0.0,0.0,0.0,0.0
1737285434.4330378,12612,1737285434,257544192,map,-0.029292209510165278,-0.027239061327670285,0.0,0.0,0.0,0.0
1737285434.5316715,12613,1737285434,457536768,map,-0.029292209510165278,-0.027239061327670285,0.0,0.0,0.0,0.0
1737285434.6334965,12614,1737285434,457532416,map,-0.029292209510165278,-0.027239061327670285,0.0,0.0,0.0,0.0
1737285434.7349591,12615,1737285434,657529088,map,-0.04393831426524791,-0.040858591991505426,0.0,0.0,0.0,0.0
1737285434.8339577,12616,1737285434,657521920,map,-0.04393831426524791,-0.040858591991505426,0.0,0.0,0.0,0.0
1737285434.9351301,12617,1737285434,857518080,map,-0.058584419020330555,-0.05447812265534057,0.0,0.0,0.0,0.0
1737285435.0317204,12618,1737285434,857512704,map,-0.058584419020330555,-0.05447812265534057,0.0,0.0,0.0,0.0
1737285435.134342,12619,1737285435,57508864,map,-0.08787662853049583,-0.08171718398301085,0.0,0.0,0.0,0.0
1737285435.2337337,12620,1737285435,57504768,map,-0.08787662853049583,-0.08171718398301085,0.0,0.0,0.0,0.0
1737285435.3332436,12621,1737285435,257500160,map,-0.08055357615295451,-0.07490741865109328,0.0,0.0,0.0,0.0
1737285435.4333699,12622,1737285435,257494016,map,-0.08055357615295451,-0.07490741865109328,0.0,0.0,0.0,0.0
1737285435.5328183,12623,1737285435,457487104,map,-0.021969157132623957,-0.020429295995752713,0.0,0.0,0.0,0.0
1737285435.6349232,12624,1737285435,457479936,map,-0.021969157132623957,-0.020429295995752713,0.0,0.0,0.0,0.0
1737285435.734371,12625,1737285435,657475840,map,-0.04393831426524791,-0.040858591991505426,0.0,0.0,0.0,0.0
1737285435.8345065,12626,1737285435,657470464,map,-0.04393831426524791,-0.040858591991505426,0.0,0.0,0.0,0.0
1737285435.9360678,12627,1737285435,857464576,map,-0.058584419020330555,-0.05447812265534057,0.0,0.0,0.0,0.0
1737285436.0332818,12628,1737285435,857459968,map,-0.058584419020330555,-0.05447812265534057,0.0,0.0,0.0,0.0
1737285436.1361468,12629,1737285436,57455616,map,-0.04393831426524791,-0.040858591991505426,0.0,0.0,0.0,0.0
1737285436.236576,12630,1737285436,57450496,map,-0.04393831426524791,-0.040858591991505426,0.0,0.0,0.0,0.0
1737285436.3415942,12631,1737285436,257443840,map,-0.007323052377541319,-0.006809765331917571,0.0,0.0,0.0,0.0
1737285436.4380548,12632,1737285436,257440768,map,-0.007323052377541319,-0.006809765331917571,0.0,0.0,0.0,0.0
1737285436.5370884,12633,1737285436,457436928,map,-0.029292209510165278,-0.027239061327670285,0.0,0.0,0.0,0.0
1737285436.6426747,12634,1737285436,457433088,map,-0.029292209510165278,-0.027239061327670285,0.0,0.0,0.0,0.0
1737285436.7406332,12635,1737285436,657430272,map,-0.0366152618877066,-0.034048826659587854,0.0,0.0,0.0,0.0
1737285436.8311002,12636,1737285436,657426432,map,-0.0366152618877066,-0.034048826659587854,0.0,0.0,0.0,0.0
1737285436.94371,12637,1737285436,857420288,map,-0.06590747139787187,-0.061287887987258136,0.0,0.0,0.0,0.0
1737285437.0401428,12638,1737285436,857416960,map,-0.06590747139787187,-0.061287887987258136,0.0,0.0,0.0,0.0
1737285437.1408014,12639,1737285437,57407744,map,-0.05126136664278924,-0.047668357323423005,0.0,0.0,0.0,0.0
1737285437.2370353,12640,1737285437,57401600,map,-0.05126136664278924,-0.047668357323423005,0.0,0.0,0.0,0.0
1737285437.3337746,12641,1737285437,257398784,map,-0.058584419020330555,-0.05447812265534057,0.0,0.0,0.0,0.0
1737285437.434035,12642,1737285437,257395200,map,-0.058584419020330555,-0.05447812265534057,0.0,0.0,0.0,0.0
1737285437.5331109,12643,1737285437,457390336,map,-0.05126136664278924,-0.047668357323423005,0.0,0.0,0.0,0.0
