Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,airspeed,groundspeed,heading,throttle,altitude,climb
1737285429.2299938,12560,1737285429,229165003,,0.09173471480607986,0.09170462936162949,7,0.12999999523162842,588.5,-0.002348674926906824
1737285429.3371193,12561,1737285429,335169021,,0.10450650006532669,0.1036548912525177,19,0.14000000059604645,588.5,0.013314394280314445
1737285429.4368303,12562,1737285429,436105521,,0.12486828118562698,0.11000070720911026,19,0.14000000059604645,588.5,0.05909255892038345
1737285429.5358298,12563,1737285429,535284206,,0.1195281371474266,0.0827179029583931,15,0.12999999523162842,588.489990234375,0.08628280460834503
1737285429.6343625,12564,1737285429,633201947,,0.10444214940071106,0.09014012664556503,9,0.11999999731779099,588.489990234375,0.05275340750813484
1737285429.7315414,12565,1737285429,728185151,,0.10074309259653091,0.09741349518299103,6,0.11999999731779099,588.489990234375,0.025686196982860565
1737285429.8333304,12566,1737285429,829275077,,0.14829334616661072,0.1316855102777481,7,0.12999999523162842,588.489990234375,0.06818976253271103
1737285429.93039,12567,1737285429,928313632,,0.09971325844526291,0.09854035079479218,11,0.14000000059604645,588.47998046875,0.015249043703079224
1737285430.0298798,12568,1737285430,29330669,,0.0829102098941803,0.08281205594539642,16,0.15000000596046448,588.47998046875,-0.004033141303807497
1737285430.1318667,12569,1737285430,128280021,,0.10367152094841003,0.09787026792764664,19,0.15000000596046448,588.4599609375,-0.0341934934258461
1737285430.2293637,12570,1737285430,228274965,,0.10090779513120651,0.09097786992788315,21,0.15000000596046448,588.4400024414062,0.043650999665260315
1737285430.3316936,12571,1737285430,331253317,,0.10508427768945694,0.0846247747540474,21,0.15000000596046448,588.4400024414062,0.06230050325393677
1737285430.4288087,12572,1737285430,428317984,,0.10050129890441895,0.08904868364334106,20,0.14000000059604645,588.4299926757812,0.04659230262041092
1737285430.5317326,12573,1737285430,531267835,,0.13392043113708496,0.08617815375328064,19,0.15000000596046448,588.4400024414062,0.10250858962535858
1737285430.6287804,12574,1737285430,627754261,,0.09708129614591599,0.09106332808732986,18,0.14000000059604645,588.4500122070312,0.03364890068769455
1737285430.7297397,12575,1737285430,729292909,,0.12772324681282043,0.09979993849992752,18,0.12999999523162842,588.4599609375,0.07970696687698364
1737285430.8309865,12576,1737285430,830387539,,0.16189013421535492,0.10447859764099121,18,0.14000000059604645,588.469970703125,0.12366340309381485
1737285430.9333758,12577,1737285430,931707372,,0.10754363983869553,0.0954115241765976,18,0.14000000059604645,588.469970703125,0.049621306359767914
1737285431.0288756,12578,1737285431,28446835,,0.1609770655632019,0.10258395969867706,19,0.14000000059604645,588.47998046875,0.12405702471733093
1737285431.1320188,12579,1737285431,131353835,,0.148799329996109,0.10189823806285858,19,0.12999999523162842,588.47998046875,0.10843425244092941
