Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rssi,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7
1737285434.931896,12617,1737285434,930518080,,255,1500,1502,1006,1502,999,1500,1000,999
1737285435.0289028,12618,1737285435,27512704,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285435.1314259,12619,1737285435,128508864,,255,1500,1502,1006,1502,999,1500,1000,999
1737285435.2317104,12620,1737285435,229504768,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285435.3296053,12621,1737285435,328500160,,255,1500,1502,1006,1503,999,1500,1000,999
1737285435.4286146,12622,1737285435,427494016,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285435.5308492,12623,1737285435,528487104,,255,1500,1502,1006,1502,999,1500,1000,999
1737285435.634587,12624,1737285435,630479936,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285435.7306402,12625,1737285435,729475840,,255,1500,1502,1006,1502,999,1500,1000,999
1737285435.8298528,12626,1737285435,828470464,,255,1500,1502,1007,1503,1000,1500,999,1000
1737285435.9339979,12627,1737285435,932464576,,255,1500,1502,1007,1502,999,1500,999,1000
1737285436.02962,12628,1737285436,28459968,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285436.1337671,12629,1737285436,131455616,,255,1500,1502,1006,1502,999,1500,1000,1000
1737285436.234477,12630,1737285436,233450496,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285436.3358707,12631,1737285436,334443840,,255,1500,1502,1007,1502,999,1500,999,1000
1737285436.4362593,12632,1737285436,433440768,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285436.5341904,12633,1737285436,532436928,,255,1500,1502,1007,1502,999,1500,999,1000
1737285436.631819,12634,1737285436,630433088,,255,1500,1502,1006,1502,1000,1500,1000,999
1737285436.7388413,12635,1737285436,737430272,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285436.8295157,12636,1737285436,827426432,,255,1500,1502,1006,1502,999,1500,1000,999
1737285436.9405951,12637,1737285436,939420288,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285437.030738,12638,1737285437,29416960,,255,1500,1502,1006,1502,999,1500,1000,999
1737285437.138081,12639,1737285437,136407744,,255,1500,1502,1006,1503,1000,1500,1000,999
1737285437.231017,12640,1737285437,229401600,,255,1500,1502,1006,1503,999,1500,999,1000
1737285437.332735,12641,1737285437,330398784,,255,1500,1502,1006,1503,1000,1500,1000,999
1737285437.4306445,12642,1737285437,429395200,,255,1500,1502,1007,1503,999,1500,999,1000
1737285437.529689,12643,1737285437,528390336,,255,1500,1502,1006,1503,1000,1500,1000,999
1737285437.632092,12644,1737285437,630387008,,255,1500,1502,1007,1502,1000,1500,999,1000
1737285437.7310274,12645,1737285437,729384192,,255,1500,1502,1006,1502,999,1500,1000,999
1737285437.8300261,12646,1737285437,828378304,,255,1500,1502,1006,1503,1000,1500,1000,999
