Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,remote_timestamp_ns,observed_offset_ns,estimated_offset_ns,round_trip_time_ms
1729403419.5442276,6398,1729403419,543571067,,684441830000,1729402735099484632,1729402735099630592,4.497611045837402
1729403419.6442153,6399,1729403419,643621882,,684541816000,1729402735099527002,1729402735099628288,4.539741039276123
1729403419.744377,6400,1729403419,743631863,,684641861000,1729402735099487076,1729402735099625984,4.551537036895752
1729403419.8445506,6401,1729403419,843707752,,684741863000,1729402735099534455,1729402735099623936,4.5995001792907715
1729403419.944269,6402,1729403419,943646678,,684841904000,1729402735099449187,1729402735099621632,4.5727219581604
1729403420.0441551,6403,1729403420,43669956,,684941930000,1729402735099447196,1729402735099619328,4.56850004196167
1729403420.1441786,6404,1729403420,143674770,,685041859000,1729402735099502576,1729402735099617280,4.613185882568359
1729403420.2440174,6405,1729403420,243615770,,685141856000,1729402735099458983,1729402735099615232,4.590295791625977
1729403420.3440316,6406,1729403420,343626474,,685241856000,1729402735099463288,1729402735099613184,4.604907989501953
1729403420.4440699,6407,1729403420,443649529,,685341852000,1729402735099477501,1729402735099611136,4.629240989685059
1729403420.544087,6408,1729403420,543661215,,685441766000,1729402735099573288,1729402735099609344,4.63270378112793
1729403420.644294,6409,1729403420,643744177,,685541888000,1729402735099502223,1729402735099607296,4.692925930023193
1729403420.7445357,6410,1729403420,743787918,,685641878000,1729402735099548918,1729402735099605504,4.705055236816406
1729403420.8445332,6411,1729403420,843791214,,685741897000,1729402735099528316,1729402735099603456,4.716055870056152
1729403420.944552,6412,1729403420,943809955,,685841932000,1729402735099502677,1729402735099601408,4.7339630126953125
1729403421.0444484,6413,1729403421,43810733,,685941862000,1729402735099616594,1729402735099599616,4.651111125946045
1729403421.1444373,6414,1729403421,143833807,,686041941000,1729402735099507455,1729402735099597568,4.754684925079346
1729403421.2444587,6415,1729403421,243847585,,686141818000,1729402735099639167,1729402735099596032,4.765426158905029
1729403421.3444364,6416,1729403421,343856307,,686241844000,1729402735099614816,1729402735099594240,4.778944969177246
1729403421.4447498,6417,1729403421,443862270,,686341862000,1729402735099596621,1729402735099592448,4.790185928344727
1729403421.5444982,6418,1729403421,543886010,,686441931000,1729402735099571214,1729402735099590656,4.751277923583984
1729403421.6446288,6419,1729403421,643910307,,686541831000,1729402735099658334,1729402735099589120,4.82440710067749
1729403421.7445173,6420,1729403421,743902677,,686641924000,1729402735099562510,1729402735099587328,4.815962791442871
1729403421.8446856,6421,1729403421,843932362,,686741857000,1729402735099641139,1729402735099585792,4.852592945098877
1729403421.9445257,6422,1729403421,943941677,,686841817000,1729402735099683704,1729402735099584256,4.8648152351379395
1729403422.0446014,6423,1729403422,43948603,,686941937000,1729402735099574047,1729402735099582464,4.857647895812988
1729403422.1445444,6424,1729403422,143963825,,687041856000,1729402735099639250,1729402735099580928,4.91798210144043
1729403422.244721,6425,1729403422,243984677,,687141904000,1729402735099620019,1729402735099579392,4.904426097869873
1729403422.34451,6426,1729403422,343990139,,687241927000,1729402735099599399,1729402735099577600,4.910055160522461
1729403422.4446993,6427,1729403422,444003102,,687341871000,1729402735099662843,1729402735099576064,4.922628879547119
1729403422.5446482,6428,1729403422,544025473,,687441866000,1729402735099695389,1729402735099574528,4.9142961502075195
1729403422.6447923,6429,1729403422,644117454,,687541847000,1729402735099771667,1729402735099573248,4.978926181793213
1729403422.744664,6430,1729403422,744050158,,687641854000,1729402735099703907,1729402735099571968,4.967906951904297
1729403422.8448305,6431,1729403422,844077028,,687741835000,1729402735099737000,1729402735099570688,4.993981838226318
1729403422.9445841,6432,1729403422,944081139,,687841835000,1729402735099736259,1729402735099569408,5.004202842712402
1729403423.0446482,6433,1729403423,44099139,,687941854000,1729402735099747444,1729402735099568128,4.979147911071777
1729403423.1447234,6434,1729403423,144085287,,688041926000,1729402735099644861,1729402735099566592,5.0137038230896
1729403423.2438562,6435,1729403423,243126620,,688141906000,1729402735099228620,1729402735099563776,3.9675369262695312
1729403423.3438387,6436,1729403423,343137991,,688241873000,1729402735099222444,1729402735099560960,4.067832946777344
1729403423.4448748,6437,1729403423,444154565,,688341863000,1729402735099741759,1729402735099559680,5.082981109619141
1729403423.544013,6438,1729403423,543176491,,688441935000,1729402735099204110,1729402735099556864,4.058629989624023
1729403423.6437948,6439,1729403423,643157453,,688541859000,1729402735099243129,1729402735099554048,4.095943927764893
1729403423.7447515,6440,1729403423,744170620,,688641843000,1729402735099763731,1729402735099552768,5.111702919006348
1729403423.8438137,6441,1729403423,843212916,,688741812000,1729402735099322268,1729402735099550208,4.140481948852539
1729403423.944996,6442,1729403423,944225935,,688841848000,1729402735099791870,1729402735099549184,5.155259132385254
1729403424.045024,6443,1729403424,44237972,,688941824000,1729402735099873990,1729402735099548416,5.064908027648926
1729403424.1438417,6444,1729403424,143262009,,689041829000,1729402735099334490,1729402735099545856,4.180202960968018
1729403424.2439456,6445,1729403424,243276379,,689141926000,1729402735099242768,1729402735099543040,4.197166919708252
1729403424.3448524,6446,1729403424,344273268,,689241813000,1729402735099849925,1729402735099542016,5.204074859619141
1729403424.4439971,6447,1729403424,443297083,,689341942000,1729402735099235471,1729402735099539200,4.224536895751953
1729403424.544106,6448,1729403424,543305823,,689441813000,1729402735099397258,1729402735099536896,4.174647808074951
1729403424.6440825,6449,1729403424,643333397,,689541821000,1729402735099373184,1729402735099534592,4.261815071105957
1729403424.743844,6450,1729403424,743322212,,689641786000,1729402735099398462,1729402735099532288,4.2610368728637695
1729403424.8440669,6451,1729403424,843359582,,689741846000,1729402735099360304,1729402735099529984,4.292037010192871
1729403424.9440613,6452,1729403424,943372638,,689841864000,1729402735099347925,1729402735099527680,4.3057780265808105
1729403425.0450928,6453,1729403425,44374971,,689941795000,1729402735099918980,1729402735099527168,5.306388854980469
1729403425.1440623,6454,1729403425,143393786,,690041903000,1729402735099319758,1729402735099524864,4.327445030212402
1729403425.2440867,6455,1729403425,243402971,,690141826000,1729402735099404017,1729402735099522816,4.329351902008057
1729403425.34389,6456,1729403425,343401045,,690242141000,1729402735099084304,1729402735099519744,4.337740898132324
1729403425.4439876,6457,1729403425,443434415,,690341780000,1729402735099464609,1729402735099517952,4.36372184753418
1729403425.5440478,6458,1729403425,543456749,,690441895000,1729402735099387526,1729402735099515904,4.334147930145264
1729403425.644099,6459,1729403425,643480860,,690541876000,1729402735099391813,1729402735099513856,4.407962799072266
1729403425.7450879,6460,1729403425,744481656,,690641892000,1729402735099879415,1729402735099513344,5.404573917388916
1729403425.84409,6461,1729403425,843496378,,690742166000,1729402735099108146,1729402735099510528,4.428555965423584
1729403425.9440706,6462,1729403425,943516156,,690842249000,1729402735099036165,1729402735099507456,4.444723129272461
1729403426.0452297,6463,1729403426,44518785,,690941267000,1729402735100529794,1729402735099508736,5.428462982177734
1729403426.1451137,6464,1729403426,144538322,,691042111000,1729402735099686128,1729402735099507456,5.465944766998291
1729403426.2441597,6465,1729403426,243559637,,691141194000,1729402735100115600,1729402735099507456,4.483241081237793
