Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,connected,armed,guided,manual_input,mode,system_status
1729403496.0860276,713,1729403496,85424892,,True,False,False,True,STABILIZE,3
1729403497.0859911,714,1729403497,85547391,,True,False,False,True,STABILIZE,3
1729403498.0863917,715,1729403498,85698391,,True,False,False,True,STABILIZE,3
1729403499.0864515,716,1729403499,85837149,,True,False,False,True,STABILIZE,3
1729403500.0855544,717,1729403500,84954963,,True,False,False,True,STABILIZE,3
1729403501.0855508,718,1729403501,85099481,,True,False,False,True,STABILIZE,3
1729403502.0857384,719,1729403502,85271592,,True,False,False,True,STABILIZE,3
1729403503.0862296,720,1729403503,85393721,,True,False,False,True,STABILIZE,3
1729403504.0860522,721,1729403504,85555054,,True,False,False,True,STABILIZE,3
1729403505.0851626,722,1729403505,84682609,,True,False,False,True,STABILIZE,3
1729403506.0856438,723,1729403506,84865793,,True,False,False,True,STABILIZE,3
1729403507.0859358,724,1729403507,84978848,,True,False,False,True,STABILIZE,3
1729403508.0857868,725,1729403508,85119070,,True,False,False,True,STABILIZE,3
1729403509.0859406,726,1729403509,85293921,,True,False,False,True,STABILIZE,3
1729403510.0861158,727,1729403510,85387069,,True,False,False,True,STABILIZE,3
1729403511.086254,728,1729403511,85549124,,True,False,False,True,STABILIZE,3
1729403512.0851955,729,1729403512,84691253,,True,False,False,True,STABILIZE,3
1729403513.085464,730,1729403513,84820493,,True,False,False,True,STABILIZE,3
1729403514.0855076,731,1729403514,84987455,,True,False,False,True,STABILIZE,3
1729403515.0855699,732,1729403515,85098473,,True,False,False,True,STABILIZE,3
1729403516.0858843,733,1729403516,85243232,,True,False,False,True,STABILIZE,3
1729403517.0859385,734,1729403517,85384490,,True,False,False,True,STABILIZE,3
1729403518.0849743,735,1729403518,84527527,,True,False,False,True,STABILIZE,3
1729403519.0852945,736,1729403519,84657693,,True,False,False,True,STABILIZE,3
1729403520.0863695,737,1729403520,85803896,,True,False,False,True,STABILIZE,3
1729403521.0854905,738,1729403521,85026358,,True,False,False,True,STABILIZE,3
1729403522.0856864,739,1729403522,85103154,,True,False,False,True,STABILIZE,3
1729403522.828719,740,1729403522,828219505,,True,False,True,True,LOITER,3
1729403523.0858853,741,1729403523,85203024,,True,False,True,True,LOITER,3
1729403524.0860307,742,1729403524,85350653,,True,True,True,True,LOITER,3
1729403525.0861642,743,1729403525,85505393,,True,False,True,True,LOITER,3
1729403525.674123,744,1729403525,673571152,,True,False,False,True,STABILIZE,3
1729403526.0862856,745,1729403526,85635800,,True,False,False,True,STABILIZE,3
1729403527.0864508,746,1729403527,85808910,,True,False,False,True,STABILIZE,3
1729403528.0867014,747,1729403528,85946613,,True,False,False,True,STABILIZE,3
1729403529.0866063,748,1729403529,86102057,,True,False,False,True,STABILIZE,3
