Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1729403414.561683,0,1729403413,212774464,map,-1.3581082820892334,-3.4538769721984863,0.04919878765940666,-0.006592521391000726,-0.002401996181928945,-0.2388795713591499,-0.9710238511299917
1729403414.561814,1,1729403413,312772416,map,-1.3593555688858032,-3.4553778171539307,0.05474245920777321,-0.006598006528491123,-0.002411560842032861,-0.2388443640136943,-0.9710324507775469
1729403414.5620964,2,1729403413,412770880,map,-1.3599662780761719,-3.458752155303955,0.06101299822330475,-0.006587745950212893,-0.0024201327553348743,-0.2387651842455477,-0.971051971499431
1729403414.5626912,3,1729403413,514768320,map,-1.3603523969650269,-3.46278977394104,0.0735473558306694,-0.0065919612059333246,-0.00242942906465955,-0.2386956540867704,-0.9710690133260189
1729403414.5627942,4,1729403413,614766016,map,-1.3610146045684814,-3.463719606399536,0.08675891160964966,-0.006561741287866352,-0.0024476197477925144,-0.23868095541378714,-0.9710727852388837
1729403414.5630667,5,1729403413,712763456,map,-1.3617690801620483,-3.4634270668029785,0.09653014689683914,-0.00652392834957219,-0.0024611630099435015,-0.23868788766139776,-0.971071301871942
1729403414.5632503,6,1729403413,814761152,map,-1.361633062362671,-3.464099407196045,0.10301166027784348,-0.006491457407532804,-0.0024827528052205816,-0.23869151677321887,-0.971070572481596
1729403414.5634818,7,1729403413,912758848,map,-1.3611332178115845,-3.4651148319244385,0.10583454370498657,-0.006494301794362864,-0.0025057068540355856,-0.2386842272729739,-0.9710722862529177
1729403414.563636,8,1729403414,12756288,map,-1.3611243963241577,-3.4652044773101807,0.1081584021449089,-0.006505624785131353,-0.002528910664653079,-0.23867785479421055,-0.9710737166084966
1729403414.5638282,9,1729403414,112753728,map,-1.3614110946655273,-3.465010404586792,0.11156082898378372,-0.006498316004623637,-0.0025394781639415088,-0.23861561603560355,-0.9710890333659981
1729403414.5641043,10,1729403414,212751424,map,-1.3610858917236328,-3.463998556137085,0.11607951670885086,-0.006491109660605733,-0.002562072986752915,-0.23847323210275417,-0.9711239976686039
1729403414.564356,11,1729403414,312749120,map,-1.3605839014053345,-3.4628827571868896,0.12024364620447159,-0.0064694186234272285,-0.002561176568286871,-0.2383594508753275,-0.9711520782944725
1729403414.564672,12,1729403414,414746048,map,-1.3588389158248901,-3.462794542312622,0.12328296154737473,-0.0064544134771984014,-0.0025801342400002046,-0.23828557477743556,-0.9711702571161023
1729403414.56472,13,1729403414,512743744,map,-1.3567661046981812,-3.463170051574707,0.12524713575839996,-0.006447326222366003,-0.002604778675407738,-0.23823370495986218,-0.9711829636756051
1729403414.614503,14,1729403414,612741440,map,-1.35452139377594,-3.4620280265808105,0.12769083678722382,-0.006451302601580949,-0.002632958443655781,-0.23821670613447404,-0.9711870309796247
1729403414.7143629,15,1729403414,712739392,map,-1.3524365425109863,-3.460451364517212,0.13346998393535614,-0.006416554886063366,-0.002637404323293976,-0.23821091607614908,-0.9711886693037515
1729403414.8162796,16,1729403414,814737088,map,-1.3505127429962158,-3.4604544639587402,0.1419697105884552,-0.006398270003086027,-0.0026401477411406487,-0.23818017304915928,-0.9711963225461397
1729403414.9145927,17,1729403414,912734528,map,-1.3488709926605225,-3.461122512817383,0.15251588821411133,-0.00641316397120211,-0.0026359103111652277,-0.2381455717725917,-0.9712047209264457
1729403415.014423,18,1729403415,12732224,map,-1.348077416419983,-3.461151123046875,0.16164760291576385,-0.0064029660536934286,-0.002617001954830566,-0.23806843431724634,-0.971223750691991
1729403415.1146364,19,1729403415,112729920,map,-1.3477169275283813,-3.460881471633911,0.16485348343849182,-0.006394119520434668,-0.002604012329445329,-0.2379856926858781,-0.9712441219550156
1729403415.214665,20,1729403415,212727616,map,-1.3450523614883423,-3.460268497467041,0.16416728496551514,-0.006375954668926476,-0.0026168251237063548,-0.23794885319578346,-0.9712532330402526
1729403415.3143125,21,1729403415,312725568,map,-1.3416825532913208,-3.4595654010772705,0.16331930458545685,-0.006355232675743201,-0.0026207217601370188,-0.2379424754014713,-0.9712549208291885
1729403415.4169815,22,1729403415,414723776,map,-1.3386949300765991,-3.4577057361602783,0.16287489235401154,-0.0063532764455629795,-0.00263151176783101,-0.2379481880724605,-0.9712535049189038
1729403415.5190563,23,1729403415,514721216,map,-1.336119532585144,-3.4555413722991943,0.1624070554971695,-0.0063471443811490506,-0.0026407913333595058,-0.23794308945382275,-0.9712547689254908
1729403415.6151378,24,1729403415,612719168,map,-1.3342229127883911,-3.453655958175659,0.1609032303094864,-0.006323834562686198,-0.0026456098628823486,-0.23796866533501576,-0.9712486417923828
1729403415.716949,25,1729403415,714717376,map,-1.3326354026794434,-3.4519948959350586,0.16103105247020721,-0.00632104157469705,-0.002646025970485792,-0.23795552310059742,-0.9712518787656967
1729403415.8169522,26,1729403415,814715584,map,-1.3321235179901123,-3.4493441581726074,0.16192543506622314,-0.006317499299595685,-0.002653408357159142,-0.23792421011676324,-0.9712595527803081
1729403415.9169664,27,1729403415,914713792,map,-1.332031488418579,-3.4463770389556885,0.16093891859054565,-0.006291608635307539,-0.002629687421039256,-0.23788306979404955,-0.9712698623504217
1729403416.016906,28,1729403416,14712000,map,-1.3306999206542969,-3.442760467529297,0.16009141504764557,-0.006272898407795456,-0.002625785064301534,-0.23788137866306053,-0.9712704081169792
1729403416.1152277,29,1729403416,112710208,map,-1.3288989067077637,-3.439127206802368,0.16201727092266083,-0.006227710237054474,-0.002624611318662685,-0.23788252969664692,-0.9712704201743987
1729403416.215121,30,1729403416,212708160,map,-1.3276950120925903,-3.437856674194336,0.16614921391010284,-0.006230414828484789,-0.0026249121316854964,-0.23790620385839661,-0.9712646034593522
1729403416.3172374,31,1729403416,314706368,map,-1.326703667640686,-3.437513589859009,0.17081715166568756,-0.006253441327360454,-0.002614904070480601,-0.23791163821334316,-0.9712631513400016
1729403416.4153924,32,1729403416,412704576,map,-1.3249907493591309,-3.4354360103607178,0.17564254999160767,-0.006254860722891282,-0.002608854272084296,-0.23787949095967525,-0.9712710323990364
1729403416.516905,33,1729403416,514703040,map,-1.3229312896728516,-3.4325594902038574,0.1772158145904541,-0.006251584870657567,-0.0026230357172311405,-0.23783324973428782,-0.9712823393283022
1729403416.6174328,34,1729403416,614701248,map,-1.3210402727127075,-3.432258367538452,0.1768702119588852,-0.006247652905286429,-0.002632682537547076,-0.23778130943171344,-0.9712950554289725
1729403416.7155309,35,1729403416,712698176,map,-1.3193556070327759,-3.4328901767730713,0.17373618483543396,-0.006252916239959781,-0.0026204268953701378,-0.23775696026719229,-0.9713010152604014
1729403416.8153853,36,1729403416,812695360,map,-1.3166214227676392,-3.433134078979492,0.16733558475971222,-0.0062792330838114105,-0.002617760513261489,-0.23775701274588096,-0.9713008398286956
1729403416.9174044,37,1729403416,914692544,map,-1.3135457038879395,-3.4330015182495117,0.16451413929462433,-0.006305636001160444,-0.0026307138318809745,-0.23777773725777585,-0.971295560560187
1729403417.0176098,38,1729403417,14689472,map,-1.3117932081222534,-3.4346683025360107,0.16077399253845215,-0.006319398449661793,-0.002625297478896999,-0.237812096009339,-0.9712870739426251
1729403417.1154692,39,1729403417,112688448,map,-1.3106590509414673,-3.43670654296875,0.1573261171579361,-0.006336495499523474,-0.00258441890494135,-0.23785782436456587,-0.9712758748122304
1729403417.2151668,40,1729403417,212687168,map,-1.3103728294372559,-3.4399404525756836,0.16127586364746094,-0.0063700637338131765,-0.002571199984392544,-0.23783496400802423,-0.9712812883577904
1729403417.3169851,41,1729403417,314684096,map,-1.310258388519287,-3.4432384967803955,0.1666070520877838,-0.006392060048855378,-0.0025459457667203005,-0.23775853182825668,-0.9712999229235821
1729403417.4148235,42,1729403417,412682816,map,-1.3088475465774536,-3.443789005279541,0.17111583054065704,-0.006388958642508498,-0.002547547443097703,-0.23766125531950028,-0.9713237456839242
1729403417.5149665,43,1729403417,512681536,map,-1.3068265914916992,-3.4429690837860107,0.17504408955574036,-0.006359693229029321,-0.0025614405799713304,-0.23756118859324876,-0.9713483798299922
1729403417.616949,44,1729403417,614678464,map,-1.304543375968933,-3.4424092769622803,0.1807233840227127,-0.006338592374625579,-0.002553148063665564,-0.23753121683303569,-0.9713558692423134
1729403417.7170851,45,1729403417,714675392,map,-1.302297830581665,-3.4418859481811523,0.1884935349225998,-0.006333480921462385,-0.002563234094674367,-0.23752906411099556,-0.971356402435763
1729403417.8148067,46,1729403417,812672576,map,-1.2994616031646729,-3.440188407897949,0.20026364922523499,-0.006325593351944482,-0.0025574187869881627,-0.23752616002753518,-0.971357179301449
1729403417.9170287,47,1729403417,914669760,map,-1.2963899374008179,-3.4379353523254395,0.2123570740222931,-0.006329090502502557,-0.002578455220717186,-0.23753833787319062,-0.9713541229760276
1729403418.017504,48,1729403418,14666944,map,-1.294087290763855,-3.4362480640411377,0.22142209112644196,-0.006322972147836373,-0.002558791641912336,-0.2375282947206392,-0.9713566707526418
1729403418.1148212,49,1729403418,112665920,map,-1.2922074794769287,-3.4348649978637695,0.22624559700489044,-0.006333587596851246,-0.0025468487750735657,-0.2375101909370978,-0.9713610597663944
1729403418.2163796,50,1729403418,212663104,map,-1.2909349203109741,-3.433276653289795,0.22944524884223938,-0.006342515057954629,-0.002538014978129219,-0.23749316635058548,-0.9713651872079232
1729403418.3143685,51,1729403418,312660544,map,-1.289814829826355,-3.431527853012085,0.2312351018190384,-0.006347219554101823,-0.0025192360216094774,-0.23745647276411103,-0.9713741759982227
1729403418.4177365,52,1729403418,414657984,map,-1.2880499362945557,-3.4274685382843018,0.22803175449371338,-0.006317602416213988,-0.002526978212687726,-0.23739055012441945,-0.9713904616540399
1729403418.5145595,53,1729403418,512655424,map,-1.286055326461792,-3.4227328300476074,0.22471576929092407,-0.006266498395836049,-0.002547578043338543,-0.2373722074556991,-0.971395221303655
1729403418.6154063,54,1729403418,612652864,map,-1.2841143608093262,-3.418379545211792,0.22447583079338074,-0.006236752338682233,-0.0025442930680245135,-0.23736050283569765,-0.9713982814410549
1729403418.7142656,55,1729403418,712650304,map,-1.282224178314209,-3.4143900871276855,0.22336693108081818,-0.006235443992373896,-0.0025354581663197193,-0.23737863234783568,-0.9713938828275457
1729403418.8144586,56,1729403418,812647744,map,-1.2804821729660034,-3.4101173877716064,0.21992051601409912,-0.0062451857275884854,-0.002538199250187098,-0.23735602245669574,-0.9713993379673111
1729403418.9143634,57,1729403418,912645696,map,-1.2787857055664062,-3.4059505462646484,0.21735084056854248,-0.006254671461481458,-0.002534735459525341,-0.237325060962169,-0.9714068507275218
1729403419.0174258,58,1729403419,14643136,map,-1.2769746780395508,-3.402144432067871,0.21718643605709076,-0.0062473542326929605,-0.0025226649464462226,-0.23728091518838546,-0.9714177134549387
1729403419.1176412,59,1729403419,114642112,map,-1.2751691341400146,-3.3987441062927246,0.21412916481494904,-0.006247132482486668,-0.0025251373903770855,-0.23725090364777784,-0.9714250386598127
1729403419.2126813,60,1729403419,209639808,map,-1.2729600667953491,-3.3953638076782227,0.20608912408351898,-0.00624621553605639,-0.0025274060628345677,-0.23725691030267881,-0.9714235716327337
1729403419.3152635,61,1729403419,312637504,map,-1.2704724073410034,-3.3918886184692383,0.19700947403907776,-0.0062466351887043355,-0.002519665794220138,-0.23727271482809736,-0.9714197288665745
1729403419.4180148,62,1729403419,414635200,map,-1.268983006477356,-3.391286611557007,0.19156210124492645,-0.006264029395730541,-0.0025202014374535193,-0.2372822502305003,-0.9714172863635866
1729403419.5144453,63,1729403419,512632896,map,-1.2678990364074707,-3.391942262649536,0.1893111914396286,-0.00628364637517641,-0.0024931874540427314,-0.23731392564722753,-0.9714094916658229
1729403419.6146812,64,1729403419,612630592,map,-1.2664834260940552,-3.3904664516448975,0.19266045093536377,-0.006283212598311867,-0.0024629147505925396,-0.23731726814155107,-0.9714087551243333
1729403419.7183316,65,1729403419,714628288,map,-1.2648392915725708,-3.3880484104156494,0.20034345984458923,-0.0062816828217426585,-0.00246123603121078,-0.23729215129947545,-0.971414905027606
1729403419.8166797,66,1729403419,812625984,map,-1.2635444402694702,-3.386162042617798,0.20801027119159698,-0.006250723353255953,-0.0024383360520041342,-0.2372502999016447,-0.9714253847678873
1729403419.9145775,67,1729403419,912623936,map,-1.2623190879821777,-3.3844492435455322,0.21514920890331268,-0.00626438104976047,-0.002426388087149342,-0.2372213636186552,-0.9714323933315276
1729403420.014658,68,1729403420,12621632,map,-1.2629565000534058,-3.3831212520599365,0.2195321023464203,-0.006279779530370156,-0.0024056825804133803,-0.23721524442594638,-0.9714338396783957
1729403420.1145952,69,1729403420,112619328,map,-1.2641364336013794,-3.3819096088409424,0.21759431064128876,-0.006289807553566181,-0.0023787489303096323,-0.237195507882904,-0.9714386603973699
1729403420.2195735,70,1729403420,217617280,map,-1.2656768560409546,-3.3790979385375977,0.2100011110305786,-0.006279374906235158,-0.0023634367232921233,-0.23715653731540148,-0.9714482798513828
1729403420.3142638,71,1729403420,312615232,map,-1.267245888710022,-3.376007080078125,0.20195072889328003,-0.006250339226674696,-0.0023390843507373298,-0.23711173593435347,-0.9714594621630638
1729403420.417097,72,1729403420,414613184,map,-1.2679692506790161,-3.374333381652832,0.1947280764579773,-0.006252919398274985,-0.0023361778104463,-0.2370612600928842,-0.9714717711984278
1729403420.5142117,73,1729403420,512611136,map,-1.2682045698165894,-3.3734850883483887,0.18814635276794434,-0.006264391205519976,-0.002345895906144711,-0.23695040687978924,-0.9714987178862995
1729403420.6174316,74,1729403420,614609344,map,-1.2687376737594604,-3.3728437423706055,0.18477179110050201,-0.006268109237805519,-0.0023391837367910755,-0.23684337731533434,-0.9715248085601802
1729403420.7145743,75,1729403420,712607296,map,-1.2693008184432983,-3.372408390045166,0.1832592785358429,-0.006286629710750669,-0.0023395307402127976,-0.23682257224197362,-0.9715297597909652
1729403420.8166738,76,1729403420,814605504,map,-1.2695175409317017,-3.372474193572998,0.181574746966362,-0.006310217494224537,-0.00235975177578833,-0.23684389795612304,-0.9715243593074143
1729403420.914947,77,1729403420,912603456,map,-1.26943039894104,-3.37274169921875,0.17811740934848785,-0.006331761993014092,-0.002356428730716549,-0.23686533286465422,-0.971519001420259
1729403421.0177813,78,1729403421,14601408,map,-1.270298719406128,-3.3733248710632324,0.17671148478984833,-0.0063339260546245455,-0.002358405165632185,-0.23685813656425758,-0.9715207370144587
1729403421.1166492,79,1729403421,114599616,map,-1.2713007926940918,-3.373948812484741,0.17774175107479095,-0.006348981977456362,-0.0023465364003781254,-0.23685218749441656,-0.9715221178510973
1729403421.2178075,80,1729403421,214597568,map,-1.2714797258377075,-3.3704135417938232,0.17829114198684692,-0.006346029029905934,-0.0023570523794672013,-0.23680486036257886,-0.9715336485826374
1729403421.314801,81,1729403421,312596032,map,-1.271122932434082,-3.3654019832611084,0.17660890519618988,-0.006299391304373499,-0.002364064397576103,-0.2367738036256946,-0.9715415044069602
1729403421.4168377,82,1729403421,414594240,map,-1.2694510221481323,-3.3602771759033203,0.17437738180160522,-0.00626635324951822,-0.002380964447260618,-0.2367047939983114,-0.971558492486927
1729403421.5169313,83,1729403421,514592448,map,-1.2672579288482666,-3.355501890182495,0.17156320810317993,-0.0062776887895208125,-0.0023981503401762526,-0.23669487737874956,-0.9715607930135234
1729403421.6149843,84,1729403421,612590656,map,-1.265589714050293,-3.3528077602386475,0.1678345799446106,-0.006301129227763288,-0.0023890775403086393,-0.23669254963899783,-0.9715612307128934
1729403421.7149663,85,1729403421,712589120,map,-1.2641115188598633,-3.3511552810668945,0.16343769431114197,-0.006337167696795011,-0.0024005540460198807,-0.23673089515722134,-0.9715516254548264
1729403421.8169923,86,1729403421,814587328,map,-1.2644574642181396,-3.3499579429626465,0.15705420076847076,-0.006377900697490303,-0.0023838018770629315,-0.2367789932231938,-0.9715396791894371
1729403421.918051,87,1729403421,914585792,map,-1.2653697729110718,-3.349113702774048,0.15093925595283508,-0.0063870043102252924,-0.002378192400143796,-0.23677010847101188,-0.9715417984376555
1729403422.0149052,88,1729403422,12584256,map,-1.2676509618759155,-3.344536304473877,0.1467067003250122,-0.006389760763314998,-0.002357283415915922,-0.23669641838963246,-0.9715597869888424
1729403422.1170647,89,1729403422,114582464,map,-1.2701539993286133,-3.3386662006378174,0.1432928591966629,-0.006354534990915302,-0.0023644329338083415,-0.236633730754558,-0.9715752707902409
1729403422.2152853,90,1729403422,212580928,map,-1.2746927738189697,-3.334287405014038,0.14040574431419373,-0.006336280530878035,-0.0023542302828889377,-0.23659628809413896,-0.971584533434371
1729403422.3149288,91,1729403422,312579392,map,-1.2794764041900635,-3.3308260440826416,0.13724833726882935,-0.00630530074466092,-0.002310956781368229,-0.23655972320823748,-0.9715937422693273
1729403422.4169924,92,1729403422,414577600,map,-1.2830349206924438,-3.330127000808716,0.13317488133907318,-0.006348987649422592,-0.002294079315452488,-0.23654226517905919,-0.9715977482167615
1729403422.5147676,93,1729403422,512576064,map,-1.28565514087677,-3.330709218978882,0.13088378310203552,-0.006398846400072982,-0.0022744753321526463,-0.2365344378103741,-0.9715993728159986
1729403422.6150198,94,1729403422,612574528,map,-1.2908631563186646,-3.330592632293701,0.1293826848268509,-0.006424682140492118,-0.0022447931226172407,-0.23655241197961951,-0.9715948953910032
1729403422.7151515,95,1729403422,712573248,map,-1.2966445684432983,-3.330155372619629,0.13216380774974823,-0.006414738314206579,-0.0021826977052792286,-0.2366002289878848,-0.9715834594135329
1729403422.8172553,96,1729403422,814571968,map,-1.3013583421707153,-3.3313701152801514,0.1349494904279709,-0.0064163414907582456,-0.0021622991490766364,-0.23660512024920038,-0.9715823033053481
1729403422.917133,97,1729403422,914570688,map,-1.3051280975341797,-3.333186149597168,0.13454368710517883,-0.006450540012770344,-0.0021322711645951997,-0.23658846101712905,-0.9715862000186968
1729403423.0151813,98,1729403423,12569408,map,-1.3063921928405762,-3.3347184658050537,0.1349533051252365,-0.0064869478793787945,-0.002145038655807894,-0.23656495619007029,-0.971591652814682
1729403423.1148832,99,1729403423,112568128,map,-1.306558609008789,-3.3360300064086914,0.13439176976680756,-0.006512359723984636,-0.002171753837716222,-0.23654766965233326,-0.9715956322658847
1729403423.2157524,100,1729403423,212566592,map,-1.3076945543289185,-3.3354780673980713,0.13609987497329712,-0.006510615362253798,-0.002181078241542093,-0.2365513107993767,-0.971594736577142
1729403423.3154829,101,1729403423,312563776,map,-1.3091392517089844,-3.334167003631592,0.1396559476852417,-0.006519694010205549,-0.0021794657741954397,-0.2365630162749211,-0.9715918293449488
1729403423.4151185,102,1729403423,412560960,map,-1.3104705810546875,-3.3318278789520264,0.13862046599388123,-0.006513751929127308,-0.0021743216690454747,-0.2365702372180024,-0.9715901225432995
1729403423.5181954,103,1729403423,514559680,map,-1.3117570877075195,-3.3293375968933105,0.13722501695156097,-0.006497221708050262,-0.002181400285026201,-0.2365833997834364,-0.9715870123410377
1729403423.6153681,104,1729403423,612556864,map,-1.3118622303009033,-3.325061321258545,0.13804352283477783,-0.006494034853692114,-0.002188880652660961,-0.2365854911569496,-0.9715865075673049
1729403423.7124972,105,1729403423,710554048,map,-1.3115051984786987,-3.3204782009124756,0.14041577279567719,-0.006458846069045708,-0.0022042569031711636,-0.2365387801331187,-0.9715980805107105
1729403423.8174005,106,1729403423,814552768,map,-1.3105932474136353,-3.316147565841675,0.14477810263633728,-0.006472015714692547,-0.0022265546809769263,-0.23651075776202718,-0.9716047637438143
1729403423.9175034,107,1729403423,914550208,map,-1.3094866275787354,-3.312458038330078,0.14659415185451508,-0.006472820508407736,-0.002215738844140046,-0.23647342098338553,-0.9716138709716196
1729403424.017038,108,1729403424,14549184,map,-1.306748390197754,-3.308863639831543,0.14954769611358643,-0.006490121518149324,-0.002235247742535796,-0.2364914000037152,-0.9716093349255615
1729403424.1153662,109,1729403424,112548416,map,-1.3035939931869507,-3.30572772026062,0.1543225646018982,-0.00650624143952781,-0.002273146400790742,-0.23650878384242063,-0.9716049077650598
1729403424.2170944,110,1729403424,214545856,map,-1.3015823364257812,-3.302642583847046,0.1595277190208435,-0.006509811502627972,-0.0022562586688788947,-0.2365170107870923,-0.9716029205695904
1729403424.3153358,111,1729403424,312543040,map,-1.300222396850586,-3.299945592880249,0.16389773786067963,-0.006504986984409238,-0.002254054698192146,-0.2365332454480944,-0.971599005855575
1729403424.4143846,112,1729403424,412542016,map,-1.296984076499939,-3.2950732707977295,0.16670183837413788,-0.006516132040337997,-0.0022685619104144007,-0.23649033597358743,-0.9716093426069922
1729403424.5155363,113,1729403424,512539200,map,-1.2932583093643188,-3.2898712158203125,0.17179083824157715,-0.006509446499732441,-0.002313654444251644,-0.2364207489400626,-0.9716262159801987
1729403424.618089,114,1729403424,614536896,map,-1.292250394821167,-3.2850327491760254,0.17484544217586517,-0.006500082900691745,-0.0023169931900939313,-0.2363721389025633,-0.9716380974495948
1729403424.7172973,115,1729403424,714534592,map,-1.2924870252609253,-3.2809131145477295,0.17432646453380585,-0.006480717865265894,-0.0022974123104891556,-0.23636563116699166,-0.9716398564260608
1729403424.8174152,116,1729403424,814532288,map,-1.293243169784546,-3.2771050930023193,0.1762971431016922,-0.006477703607322533,-0.002273426486746188,-0.2363670208274954,-0.9716395948874867
1729403424.9173262,117,1729403424,914529984,map,-1.2940868139266968,-3.273815870285034,0.18003997206687927,-0.0065026286069148065,-0.0022497247767544657,-0.23641078670668014,-0.9716288357641296
1729403425.0144668,118,1729403425,12527680,map,-1.2950539588928223,-3.2723312377929688,0.18543876707553864,-0.006494445825619096,-0.0022525219251893994,-0.2364463898046777,-0.971620220593792
1729403425.1160948,119,1729403425,112527168,map,-1.2959465980529785,-3.2717649936676025,0.193079873919487,-0.0065339672636202835,-0.002257926149680199,-0.23643654046922535,-0.9716223398894475
1729403425.2173626,120,1729403425,214524864,map,-1.2968541383743286,-3.271252393722534,0.2001418173313141,-0.00656459565985945,-0.0022643493585094315,-0.2363862052543857,-0.9716343657833622
1729403425.3172786,121,1729403425,314522816,map,-1.2975977659225464,-3.2708725929260254,0.2076593041419983,-0.0065658485126316845,-0.002270263856851771,-0.23630594647197672,-0.9716538659405995
1729403425.4155738,122,1729403425,412519744,map,-1.297705054283142,-3.2681074142456055,0.21710345149040222,-0.006552754931889559,-0.002281383687353579,-0.2362686905155324,-0.9716629881668588
1729403425.5148532,123,1729403425,512517952,map,-1.2974427938461304,-3.2646121978759766,0.22651809453964233,-0.006539539757046979,-0.0022874339065032225,-0.23627560499330957,-0.9716613816299047
1729403425.6175816,124,1729403425,614515904,map,-1.298299789428711,-3.2640514373779297,0.23348689079284668,-0.006544118169032079,-0.002274847781235566,-0.2362878557487592,-0.9716584012967806
1729403425.7144508,125,1729403425,712513856,map,-1.2994602918624878,-3.2649295330047607,0.24343480169773102,-0.0065818689632740094,-0.002263953245568344,-0.23626364464215888,-0.9716640590950434
1729403425.8176389,126,1729403425,815513344,map,-1.3011515140533447,-3.266392230987549,0.25374460220336914,-0.0066363198233231075,-0.0022379504609451005,-0.23626304972916456,-0.9716638936224868
1729403425.9146237,127,1729403425,912510528,map,-1.3022959232330322,-3.267591714859009,0.2585006356239319,-0.006676946966062687,-0.0022188743818246596,-0.23626438325526689,-0.9716633347928172
1729403426.0144663,128,1729403426,12507456,map,-1.30414617061615,-3.266796588897705,0.26150673627853394,-0.006669262358977252,-0.0022081888418418703,-0.23622137329416026,-0.9716738689707811
1729403426.117442,129,1729403426,114508736,map,-1.306125521659851,-3.2652201652526855,0.26321855187416077,-0.00666021670200558,-0.0022049056473804553,-0.23618300116249186,-0.9716832662274509
1729403426.2129335,130,1729403426,209507456,map,-1.3099889755249023,-3.262127161026001,0.2653976380825043,-0.006647548499832218,-0.00218502804262665,-0.23615401774490508,-0.9716904422985411
1729403426.3147511,131,1729403426,312507456,map,-1.3145793676376343,-3.258638858795166,0.2667243480682373,-0.006624535270897615,-0.0021662071463350034,-0.23616777587798443,-0.9716872978051581
