Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
1729690889.2925267,1595,1729690889,172652256,base_link,-200000.0,241999.99999999997,-292000.00000000006,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690889.2927601,1596,1729690889,272621416,base_link,-191000.0,212999.99999999997,-281000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690889.3723838,1597,1729690889,371077832,base_link,-186000.0,206999.99999999997,-272000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690889.4727626,1598,1729690889,471096920,base_link,-213000.0,220999.99999999997,-278000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690889.572017,1599,1729690889,571054080,base_link,-197000.0,197999.99999999997,-279000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690889.6727347,1600,1729690889,671061704,base_link,-192000.0,200999.99999999997,-280000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690889.7703865,1601,1729690889,768788352,base_link,-210000.0,200999.99999999997,-282000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690889.873683,1602,1729690889,871159976,base_link,-197000.0,214999.99999999997,-265000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690889.9742994,1603,1729690889,969250856,base_link,-211000.0,205999.99999999997,-270000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690890.0729194,1604,1729690890,71024992,base_link,-181000.0,204999.99999999997,-283000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690890.1731417,1605,1729690890,171520872,base_link,-191000.0,201999.99999999997,-280000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690890.2731082,1606,1729690890,271564752,base_link,-202000.0,204999.99999999997,-277000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690890.3726926,1607,1729690890,371652096,base_link,-222000.0,212999.99999999997,-288000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690890.4738986,1608,1729690890,472052976,base_link,-182000.0,216999.99999999997,-278000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690890.57411,1609,1729690890,572127784,base_link,-192000.0,203999.99999999997,-272000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690890.6733105,1610,1729690890,672339200,base_link,-182000.0,204999.99999999997,-262000.00000000003,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690890.7733371,1611,1729690890,772398616,base_link,-218000.0,218999.99999999997,-269000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690890.8735273,1612,1729690890,872844032,base_link,-221000.0,216999.99999999997,-269000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690890.9733663,1613,1729690890,972954424,base_link,-187000.0,189999.99999999997,-265000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729690891.0738628,1614,1729690891,72586816,base_link,-234000.0,226999.99999999997,-291000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
