Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,severity,text
1729690894.1241763,50,1729690894,123510859,,6,EKF3 IMU0 MAG0 in-flight yaw alignment complete
1729690895.948386,51,1729690895,947751784,,6,EKF3 IMU1 MAG0 in-flight yaw alignment complete
