Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,fluid_pressure,variance
1729690889.292541,1594,1729690889,172272256,base_link,47661.82556152344,0.0
1729690889.292782,1595,1729690889,272268416,base_link,47666.717529296875,0.0
1729690889.372548,1596,1729690889,370264832,base_link,47662.786865234375,0.0
1729690889.4728458,1597,1729690889,470257920,base_link,47661.29455566406,0.0
1729690889.572651,1598,1729690889,570254080,base_link,47663.623046875,0.0
1729690889.6729436,1599,1729690889,670248704,base_link,47660.12268066406,0.0
1729690889.7724311,1600,1729690889,771244352,base_link,47660.693359375,0.0
1729690889.8738546,1601,1729690889,871238976,base_link,47659.75036621094,0.0
1729690889.975239,1602,1729690889,970233856,base_link,47661.724853515625,0.0
1729690890.073602,1603,1729690890,70228992,base_link,47661.273193359375,0.0
1729690890.1732216,1604,1729690890,171223872,base_link,47658.062744140625,0.0
1729690890.2733212,1605,1729690890,271218752,base_link,47657.171630859375,0.0
1729690890.3760889,1606,1729690890,374206976,base_link,47659.25598144531,0.0
1729690890.4739385,1607,1729690890,472206976,base_link,47654.583740234375,0.0
1729690890.5742252,1608,1729690890,572198784,base_link,47656.51550292969,0.0
1729690890.6742477,1609,1729690890,672195200,base_link,47656.585693359375,0.0
1729690890.7751372,1610,1729690890,772191616,base_link,47657.87353515625,0.0
1729690890.8758016,1611,1729690890,872188032,base_link,47653.35693359375,0.0
1729690890.9741178,1612,1729690890,972183424,base_link,47652.685546875,0.0
1729690891.0740104,1613,1729690891,72178816,base_link,47655.865478515625,0.0
1729690891.1723027,1614,1729690891,170175488,base_link,47657.68737792969,0.0
1729690891.2732036,1615,1729690891,270168064,base_link,47654.107666015625,0.0
1729690891.3730097,1616,1729690891,371160384,base_link,47654.86755371094,0.0
1729690891.4728138,1617,1729690891,471156032,base_link,47656.6162109375,0.0
1729690891.5760615,1618,1729690891,574149888,base_link,47654.193115234375,0.0
1729690891.6727457,1619,1729690891,671149888,base_link,47654.96826171875,0.0
1729690891.7758112,1620,1729690891,774144000,base_link,47656.28662109375,0.0
1729690891.8729546,1621,1729690891,871138112,base_link,47655.108642578125,0.0
1729690891.9740114,1622,1729690891,972135296,base_link,47654.8828125,0.0
1729690892.0738184,1623,1729690892,72130944,base_link,47655.0537109375,0.0
1729690892.1722376,1624,1729690892,170128640,base_link,47657.83386230469,0.0
1729690892.2721326,1625,1729690892,270122240,base_link,47658.52966308594,0.0
1729690892.374635,1626,1729690892,373119168,base_link,47655.23376464844,0.0
1729690892.474881,1627,1729690892,473114560,base_link,47655.218505859375,0.0
1729690892.573146,1628,1729690892,571110208,base_link,47656.82067871094,0.0
1729690892.6736233,1629,1729690892,671104064,base_link,47655.51452636719,0.0
1729690892.7736588,1630,1729690892,771099456,base_link,47656.65588378906,0.0
1729690892.8730938,1631,1729690892,872096384,base_link,47657.2021484375,0.0
1729690892.975846,1632,1729690892,972096384,base_link,47656.70166015625,0.0
1729690893.0766547,1633,1729690893,72089216,base_link,47656.35070800781,0.0
1729690893.177213,1634,1729690893,175080000,base_link,47655.49011230469,0.0
1729690893.2763746,1635,1729690893,273080000,base_link,47658.57849121094,0.0
1729690893.376714,1636,1729690893,370072576,base_link,47652.94494628906,0.0
1729690893.4746218,1637,1729690893,470068992,base_link,47653.61633300781,0.0
1729690893.5773277,1638,1729690893,571060800,base_link,47654.248046875,0.0
1729690893.675638,1639,1729690893,671052608,base_link,47654.40368652344,0.0
1729690893.7773037,1640,1729690893,772043904,base_link,47653.84216308594,0.0
1729690893.8761733,1641,1729690893,872035968,base_link,47653.656005859375,0.0
1729690893.9773874,1642,1729690893,975027776,base_link,47654.443359375,0.0
1729690894.0796301,1643,1729690894,75017536,base_link,47652.41394042969,0.0
1729690894.173125,1644,1729690894,171017536,base_link,47655.85021972656,0.0
1729690894.273677,1645,1729690894,272014208,base_link,47655.474853515625,0.0
1729690894.3774936,1646,1729690894,376004736,base_link,47653.35693359375,0.0
1729690894.4733915,1647,1729690894,472004736,base_link,47653.35693359375,0.0
1729690894.5735466,1648,1729690894,571001920,base_link,47653.466796875,0.0
1729690894.6714635,1649,1729690894,670000128,base_link,47658.27331542969,0.0
1729690894.7737155,1650,1729690894,770997056,base_link,47657.647705078125,0.0
1729690894.8736317,1651,1729690894,871993728,base_link,47656.390380859375,0.0
1729690894.9740942,1652,1729690894,970993216,base_link,47657.26318359375,0.0
1729690895.075135,1653,1729690895,71989632,base_link,47659.46044921875,0.0
1729690895.177689,1654,1729690895,175979904,base_link,47655.25817871094,0.0
1729690895.2767103,1655,1729690895,274977856,base_link,47658.624267578125,0.0
1729690895.376188,1656,1729690895,373977856,base_link,47656.99157714844,0.0
1729690895.4740207,1657,1729690895,471972224,base_link,47656.85729980469,0.0
1729690895.5735593,1658,1729690895,570967360,base_link,47659.625244140625,0.0
1729690895.671675,1659,1729690895,669959680,base_link,47657.757568359375,0.0
1729690895.7734003,1660,1729690895,771954560,base_link,47655.6396484375,0.0
1729690895.874364,1661,1729690895,871952256,base_link,47652.874755859375,0.0
1729690895.9738514,1662,1729690895,971947648,base_link,47654.718017578125,0.0
1729690896.0739849,1663,1729690896,70945088,base_link,47656.28662109375,0.0
1729690896.174341,1664,1729690896,171943296,base_link,47654.50744628906,0.0
1729690896.2771757,1665,1729690896,273936896,base_link,47652.850341796875,0.0
1729690896.376541,1666,1729690896,374935360,base_link,47657.21740722656,0.0
1729690896.4732387,1667,1729690896,470935360,base_link,47657.24182128906,0.0
1729690896.5763266,1668,1729690896,574927168,base_link,47656.0546875,0.0
