,drone1-mavros-battery__voltage,drone1-mavros-battery__current,drone1-mavros-battery__temperature,drone1-mavros-battery__percentage,drone1-mavros-battery__cell_voltage_0,drone1-mavros-global_position-global__altitude,drone1-mavros-global_position-global__longitude,drone1-mavros-global_position-global__latitude,drone1-mavros-global_position-local__pose.pose.position.x,drone1-mavros-global_position-local__pose.pose.position.y,drone1-mavros-global_position-local__pose.pose.position.z,drone1-mavros-global_position-local__pose.pose.orientation.x,drone1-mavros-global_position-local__pose.pose.orientation.y,drone1-mavros-global_position-local__pose.pose.orientation.z,drone1-mavros-global_position-local__twist.twist.linear.x,drone1-mavros-global_position-local__twist.twist.linear.y,drone1-mavros-global_position-local__twist.twist.linear.z,drone1-mavros-global_position-local__twist.twist.angular.x,drone1-mavros-global_position-local__twist.twist.angular.y,drone1-mavros-global_position-local__twist.twist.angular.z,drone1-mavros-global_position-raw-fix__altitude,drone1-mavros-global_position-raw-fix__longitude,drone1-mavros-global_position-raw-fix__latitude,drone1-mavros-global_position-raw-satellites__data,drone1-mavros-global_position-rel_alt__data,drone1-mavros-gpsstatus-gps1-raw__lat,drone1-mavros-gpsstatus-gps1-raw__lon,drone1-mavros-gpsstatus-gps1-raw__alt,drone1-mavros-gpsstatus-gps1-raw__eph,drone1-mavros-gpsstatus-gps1-raw__epv,drone1-mavros-gpsstatus-gps1-raw__vel,drone1-mavros-gpsstatus-gps1-raw__cog,drone1-mavros-gpsstatus-gps1-raw__satellites_visible,drone1-mavros-gpsstatus-gps1-raw__alt_ellipsoid,drone1-mavros-gpsstatus-gps1-raw__h_acc,drone1-mavros-gpsstatus-gps1-raw__v_acc,drone1-mavros-gpsstatus-gps1-raw__vel_acc,drone1-mavros-gpsstatus-gps1-raw__hdg_acc,drone1-mavros-gpsstatus-gps1-raw__dgps_numch,drone1-mavros-gpsstatus-gps1-raw__dgps_age,drone1-mavros-imu-data__orientation.x,drone1-mavros-imu-data__orientation.y,drone1-mavros-imu-data__orientation.z,drone1-mavros-imu-data__orientation.w,drone1-mavros-imu-data__angular_velocity.x,drone1-mavros-imu-data__angular_velocity.y,drone1-mavros-imu-data__angular_velocity.z,drone1-mavros-imu-static_pressure__fluid_pressure,drone1-mavros-imu-temperature_baro__temperature,drone1-mavros-local_position-odom__pose.pose.position.x,drone1-mavros-local_position-odom__pose.pose.position.y,drone1-mavros-local_position-odom__pose.pose.position.z,drone1-mavros-local_position-odom__pose.pose.orientation.x,drone1-mavros-local_position-odom__pose.pose.orientation.y,drone1-mavros-local_position-odom__pose.pose.orientation.z,drone1-mavros-local_position-odom__pose.pose.orientation.w,drone1-mavros-local_position-odom__pose.covariance,drone1-mavros-local_position-odom__twist.twist.linear.x,drone1-mavros-local_position-odom__twist.twist.linear.y,drone1-mavros-local_position-odom__twist.twist.linear.z,drone1-mavros-local_position-odom__twist.twist.angular.x,drone1-mavros-local_position-odom__twist.twist.angular.y,drone1-mavros-local_position-odom__twist.twist.angular.z,drone1-mavros-local_position-pose__pose.position.x,drone1-mavros-local_position-pose__pose.position.y,drone1-mavros-local_position-pose__pose.position.z,drone1-mavros-local_position-pose__pose.orientation.x,drone1-mavros-local_position-pose__pose.orientation.y,drone1-mavros-local_position-pose__pose.orientation.z,drone1-mavros-local_position-pose__pose.orientation.w,drone1-mavros-param-param_value__param_id,drone1-mavros-param-param_value__value.integer,drone1-mavros-param-param_value__value.real,drone1-mavros-param-param_value__param_index,drone1-mavros-param-param_value__param_count,drone1-mavros-rc-in__channels_0,drone1-mavros-rc-in__channels_1,drone1-mavros-rc-in__channels_2,drone1-mavros-rc-in__channels_3,drone1-mavros-rc-in__channels_4,drone1-mavros-rc-in__rssi,drone1-mavros-rc-out__channels_0,drone1-mavros-rc-out__channels_1,drone1-mavros-rc-out__channels_2,drone1-mavros-rc-out__channels_3,drone1-mavros-rc-out__channels_4,drone1-mavros-rc-out__channels_5,drone1-mavros-rc-out__channels_6,drone1-mavros-rc-out__channels_7,drone1-mavros-rc-out__channels_8,drone1-mavros-rc-out__channels_9,drone1-mavros-rc-out__channels_10,drone1-mavros-rc-out__channels_11,drone1-mavros-rc-out__channels_12,drone1-mavros-rc-out__channels_13,drone1-mavros-rc-out__channels_14,drone1-mavros-rc-out__channels_15,drone1-mavros-state__connected,drone1-mavros-state__armed,drone1-mavros-state__guided,drone1-mavros-state__manual_input,drone1-mavros-state__system_status,drone1-mavros-statustext-recv__severity,drone1-mavros-statustext-recv__text,drone1-mavros-timesync_status__remote_timestamp_ns,drone1-mavros-timesync_status__observed_offset_ns,drone1-mavros-timesync_status__estimated_offset_ns,drone1-mavros-timesync_status__round_trip_time_ms,drone1-mavros-vfr_hud__airspeed,drone1-mavros-vfr_hud__groundspeed,drone1-mavros-vfr_hud__heading,drone1-mavros-vfr_hud__throttle,drone1-mavros-vfr_hud__altitude,drone1-mavros-vfr_hud__climb,CPU-L__Time,CPU-L__CPU_Percent,CPU-L__CPU_Core_1_Utilization,CPU-L__CPU_Core_2_Utilization,CPU-L__CPU_Core_3_Utilization,RAM-L__Available_RAM_MB,RAM-L__Used_RAM_MB,label
2024-10-23 13:41:29.292529583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MitM
2024-10-23 13:41:29.292541027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47661.82556152344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MitM
2024-10-23 13:41:29.292595863,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MitM
2024-10-23 13:41:29.292599916,,,,,,,,,,,,,,,,,,,,,509.0361437108319,72.9912729,33.6371298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MitM
2024-10-23 13:41:29.292630434,,,,,,,,,,,,,,,,,,,,,,,,,,336371298.0,729912729.0,555760.0,55.0,97.0,27.0,9022.0,20.0,515162.0,1021.0,1418.0,233.0,0.0,255.0,4294967295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MitM
2024-10-23 13:41:29.292645216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.277690887451172,5.151782035827637,0.2361933588981628,0.0026245911719151,0.0306991411544675,0.3548844469522695,-0.934402324250609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MitM
2024-10-23 13:41:29.292684078,,,,,,501.3961426319293,72.9912734,33.6371293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MitM
2024-10-23 13:41:29.292699099,,,,,,,,,,,,,,,,,,,,,,,,,1.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MitM
2024-10-23 13:41:29.292707920,,,,,,,,,-0.8536040462358739,0.4547908969209364,1.264,-0.0016266107405878,0.0331721237013547,0.357452989258032,0.17,-0.02,-1.3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MitM
2024-10-23 13:41:29.292722464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0016266107405878,0.0331721237013547,0.357452989258032,-0.9333404120775752,0.1764986962080001,-0.0059003238566219,0.0297021679580211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MitM
2024-10-23 13:41:29.292770147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MitM
2024-10-23 13:41:29.292782068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47666.71752929688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MitM
2024-10-23 13:41:29.292820930,,,,,,,,,,,,,,,,,,,,,509.0361437108319,72.9912729,33.6371298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MitM
2024-10-23 13:41:29.292823076,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MitM
2024-10-23 13:41:29.292833805,,,,,,,,,,,,,,,,,,,,,,,,,,336371298.0,729912729.0,555760.0,55.0,97.0,27.0,9022.0,20.0,515162.0,1021.0,1418.0,233.0,0.0,255.0,4294967295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MitM
