Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1729690889.292206,1592,1729690888,926279936,base_link,0,1,33.6371302,72.9912722,508.63614338240006,1.0424409999999997,0.0,0.0,0.0,1.0424409999999997,0.0,0.0,0.0,2.0164,2
1729690889.292316,1593,1729690888,926276352,base_link,0,1,33.6371302,72.9912722,508.63614338240006,1.0424409999999997,0.0,0.0,0.0,1.0424409999999997,0.0,0.0,0.0,2.0164,2
1729690889.2926,1594,1729690889,126268416,base_link,0,1,33.6371298,72.9912729,509.0361437108319,1.0424409999999997,0.0,0.0,0.0,1.0424409999999997,0.0,0.0,0.0,2.0107239999999997,2
1729690889.292821,1595,1729690889,126264832,base_link,0,1,33.6371298,72.9912729,509.0361437108319,1.0424409999999997,0.0,0.0,0.0,1.0424409999999997,0.0,0.0,0.0,2.0107239999999997,2
1729690889.3740313,1596,1729690889,326264832,base_link,0,1,33.6371297,72.9912733,509.26614468660574,1.0404,0.0,0.0,0.0,1.0404,0.0,0.0,0.0,2.007889,2
1729690889.4741197,1597,1729690889,326257920,base_link,0,1,33.6371297,72.9912733,509.26614468660574,1.0404,0.0,0.0,0.0,1.0404,0.0,0.0,0.0,2.007889,2
1729690889.5740774,1598,1729690889,526254080,base_link,0,1,33.6371295,72.9912736,509.4561446522292,1.0424409999999997,0.0,0.0,0.0,1.0424409999999997,0.0,0.0,0.0,2.007889,2
1729690889.6743965,1599,1729690889,526248704,base_link,0,1,33.6371295,72.9912736,509.4561446522292,1.0424409999999997,0.0,0.0,0.0,1.0424409999999997,0.0,0.0,0.0,2.007889,2
1729690889.7732482,1600,1729690889,726244352,base_link,0,1,33.6371291,72.991274,509.7261437891072,1.0424409999999997,0.0,0.0,0.0,1.0424409999999997,0.0,0.0,0.0,2.002225,2
1729690889.8729594,1601,1729690889,726238976,base_link,0,1,33.6371291,72.991274,509.7261437891072,1.0424409999999997,0.0,0.0,0.0,1.0424409999999997,0.0,0.0,0.0,2.002225,2
1729690889.9748297,1602,1729690889,926233856,base_link,0,1,33.6371291,72.9912744,509.9161453778461,1.0404,0.0,0.0,0.0,1.0404,0.0,0.0,0.0,1.9993959999999997,2
1729690890.0734115,1603,1729690889,926228992,base_link,0,1,33.6371291,72.9912744,509.9161453778461,1.0404,0.0,0.0,0.0,1.0404,0.0,0.0,0.0,1.9993959999999997,2
1729690890.173007,1604,1729690890,126223872,base_link,0,1,33.6371289,72.9912748,510.0761457406546,1.0404,0.0,0.0,0.0,1.0404,0.0,0.0,0.0,1.996569,2
