Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1729690889.2924776,1594,1729690889,167272256,base_link,0.002624591171915181,0.030699141154467514,0.3548844469522695,-0.934402324250609,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.07031630724668503,-0.06692142039537431,-0.09898584336042403,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.196133,0.6276256000000011,9.20844435,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1729690889.2927225,1595,1729690889,267268416,base_link,-0.0016266107405878655,0.03317212370135478,0.35745298925803204,-0.9333404120775752,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.17649869620800018,-0.005900323856621977,0.029702167958021164,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.18632635,0.6864655000000012,9.5712904,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1729690889.3662271,1596,1729690889,365264832,base_link,-0.003078312065579739,0.036161055924440695,0.3562223750190455,-0.9336961612671688,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.12792165577411652,-0.08298949897289275,0.10354020446538927,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.14709975,0.4216859500000012,9.54187045,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1729690889.466367,1597,1729690889,465257920,base_link,-0.004352008957608194,0.0374923941922645,0.35243507280114,-0.9350748097641279,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.14860418438911438,-0.1506001502275467,0.01349006127566101,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.14709975,0.7256921000000012,9.16921775,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1729690889.5661469,1598,1729690889,565254080,base_link,-0.007445962222356487,0.04031072127443219,0.3498980966538149,-0.9358904451670376,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2732464075088501,-0.09733342379331587,0.08022302389144899,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0980665,0.6570455500000011,8.83579165,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1729690889.6661587,1599,1729690889,665248704,base_link,-0.00408259369586766,0.040635883912151415,0.3541414601912454,-0.9342996754473404,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.19216583669185638,-0.019900809973478328,-0.07812820374965668,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.10787315,0.22555295000000108,8.81617835,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1729690889.7672698,1600,1729690889,766244352,base_link,0.0001779169868575649,0.04238934549360584,0.35684958448429444,-0.9331995958998032,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.08047506958246231,-0.04974593594670296,-0.02038030326366424,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.5589790500000011,9.551677100000001,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1729690889.867342,1601,1729690889,866238976,base_link,-0.0029479566706822505,0.042865366565563535,0.3593956227925036,-0.9321956104907683,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.02126447483897209,-0.06720400601625443,0.029345320537686355,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.04903325,0.47071920000000117,9.44380395,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1729690889.9677436,1602,1729690889,966233856,base_link,-0.003804930607893903,0.045605120785285454,0.358614021838721,-0.932363490706219,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.13843201100826263,-0.16308905184268951,0.08107467740774156,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0980665,0.6570455500000011,9.1594111,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1729690890.0678625,1603,1729690890,66228992,base_link,-0.0042524605396267075,0.04828071701892354,0.3584915537718366,-0.932273937648024,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.17401355504989624,0.05339354276657105,0.07774653285741806,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.196133,0.6570455500000011,8.63965865,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1729690890.168454,1604,1729690890,166223872,base_link,-0.003716175215032674,0.05034719941818496,0.3590763256743239,-0.9319418125037333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.14051824808120728,-0.08974847197532654,-0.0003347606398165116,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0588399,0.31381280000000117,9.7281968,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
