Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
1729690889.2928746,1595,1729690889,280264832,base_link,0.21809608957447457,0.12329272477412166,1.3061640583163967,0.17649869620800018,-0.005900323856621977,0.029702167958021164
1729690889.3795342,1596,1729690889,378257920,base_link,0.21223795709585558,0.15254673792874385,1.2188085210310793,0.12792165577411652,-0.08298949897289275,0.10354020446538927
1729690889.4791434,1597,1729690889,477254080,base_link,0.1867928520694596,0.14861741817771004,1.1583773186410349,-0.14860418438911438,-0.1506001502275467,0.01349006127566101
1729690889.5796106,1598,1729690889,578248704,base_link,0.17501243258163843,0.12637775731101472,1.0824473561639465,0.2732464075088501,-0.09733342379331587,0.08022302389144899
1729690889.6795702,1599,1729690889,678244352,base_link,0.15945604474683794,0.13137294324159668,1.0356022125113589,-0.19216583669185638,-0.019900809973478328,-0.07812820374965668
1729690889.777989,1600,1729690889,776238976,base_link,0.14517093192950942,0.12218076993192299,0.9718992867493015,-0.08047506958246231,-0.04974593594670296,-0.02038030326366424
1729690889.8814833,1601,1729690889,878233856,base_link,0.13352370262070729,0.1138596602531365,0.8716301429049362,-0.02126447483897209,-0.06720400601625443,0.029345320537686355
1729690889.9814138,1602,1729690889,978228992,base_link,0.11065512994827098,0.10080554644578016,0.8145714203799338,0.13843201100826263,-0.16308905184268951,0.08107467740774156
1729690890.0808895,1603,1729690890,78223872,base_link,0.09805368296395162,0.09665310537771393,0.7662595235323708,0.17401355504989624,0.05339354276657105,0.07774653285741806
1729690890.180336,1604,1729690890,179218752,base_link,0.0716730021938664,0.10660647683740027,0.6890151255226767,0.14051824808120728,-0.08974847197532654,-0.0003347606398165116
1729690890.280625,1605,1729690890,279212096,base_link,0.05233297364411753,0.10508137157523936,0.606854605223129,-0.04097294062376022,-0.06037292256951332,0.019146326929330833
1729690890.3940072,1606,1729690890,381206976,base_link,-0.0035382908924619025,0.08143622008593264,0.576156635854247,-0.13198426365852356,-0.09554172307252884,0.0486053302884102
1729690890.4808648,1607,1729690890,478198784,base_link,-0.013953729750878524,0.0987971669104439,0.54288849769233,0.1336396336555481,0.10525615513324738,0.013378370553255069
1729690890.5822515,1608,1729690890,581195200,base_link,-0.05630971842268289,0.0740506617718127,0.511246287501,-0.06738680601119995,-0.04081124812364579,-0.06501036882400513
1729690890.6808267,1609,1729690890,679191616,base_link,-0.08170666352556773,0.08478705993353863,0.4657130904798573,0.10139141976833344,0.23156999051570892,0.027868229895830127
1729690890.7791343,1610,1729690890,777188032,base_link,-0.09115415770391702,0.06896999202997645,0.3778827715054794,0.1488429456949234,0.16172955930233004,0.12244838476181029
1729690890.8790429,1611,1729690890,877183424,base_link,-0.09846113555053546,0.06958292902454907,0.31873015464981724,0.017091257497668266,0.09315145015716553,-0.009509867057204259
1729690890.981602,1612,1729690890,980178816,base_link,-0.10349446903937065,0.07026413631490967,0.23194231694104026,0.03528675064444542,0.11152610927820206,0.03982796519994734
1729690891.0814288,1613,1729690891,80175488,base_link,-0.08926264362944057,0.05576813680490178,0.15080777258044967,0.34933674335479736,-0.03943313285708426,0.10453639179468155
1729690891.1766634,1614,1729690891,175168064,base_link,-0.1084273503644966,0.036705329533977565,0.1271635448432168,0.21179063618183136,0.052866473793983466,0.05823985859751701
1729690891.2786212,1615,1729690891,277160384,base_link,-0.12842489035518947,0.0024015799108976386,0.05223479356837506,0.02173137664794922,-0.011058085598051543,0.04468092694878578
1729690891.380801,1616,1729690891,379156032,base_link,-0.13245995246278047,-0.010221917512652685,0.0018132144231183048,0.1307452768087387,0.14447815716266632,0.04880959913134573
1729690891.479953,1617,1729690891,479151168,base_link,-0.1485808924793874,-0.05237230914275982,-0.022960377230363052,-0.2320055365562439,-0.0056891171261668275,-0.05932147800922394
1729690891.5811284,1618,1729690891,579149888,base_link,-0.15049406713302385,-0.06051790385698035,-0.010288844374045227,-0.10423597693443298,0.12596721947193146,-0.039218842983245863
1729690891.6805031,1619,1729690891,679144000,base_link,-0.14786509873278678,-0.09592591097629319,-0.01410492210810552,-0.1432366967201233,0.06617413461208344,0.036294329911470406
1729690891.7838757,1620,1729690891,782138112,base_link,-0.1294158796476229,-0.11453120356895338,-0.018660765255534242,0.003072632709518075,-0.041997514665126794,0.04920656606554986
1729690891.877879,1621,1729690891,877135296,base_link,-0.11900879655160891,-0.13233285525887864,-0.0005114603785557996,-0.16172201931476593,0.11386318504810333,-0.009793502278625979
1729690891.9787457,1622,1729690891,977130944,base_link,-0.0963143659568157,-0.13626260715265412,0.027256435487842907,0.057669077068567276,0.11551432311534882,0.011064627207815633
1729690892.0787556,1623,1729690892,77128640,base_link,-0.08253471998485908,-0.16912148842035296,0.05334917088260243,0.22109270095825195,0.16038073599338531,0.03549224883317945
1729690892.1797595,1624,1729690892,178122240,base_link,-0.05427140788597486,-0.19035234319020874,0.028429912689704184,-0.16666074097156525,-0.1677274852991104,-0.06295245140790938
1729690892.2787526,1625,1729690892,278119168,base_link,-0.010516599231490401,-0.1878931666248287,0.02244830924523256,-0.1361757516860962,0.07088097929954529,-0.035852417349815376
1729690892.381887,1626,1729690892,380114560,base_link,0.015733546573351197,-0.194146500883897,0.052683048698974576,0.13922001421451569,0.05808692798018456,0.06607011705636977
1729690892.4818835,1627,1729690892,480110208,base_link,0.03869019986132128,-0.2272427115876609,0.036244525263266276,-0.07469770312309265,-0.04249818995594979,-0.05438274517655372
